policy,query_id,fc,path,n_fetched,n_from_cache,embedding,l1_lookup,l2_lookup,l3_processing,search_api,page_fetch,llm_generation,total_ms,answer_chars
NoCache,p_q_57755f05_2,SLOW,nocache,1,0,0.0,0.0,0.0,0.0,1210.5597,809.1762,310.6778,2360.0736,72
NoCache,p_q_5e007db1_0,REAL_TIME,nocache,3,0,0.0,0.0,0.0,0.0,1054.3654,3483.642,1207.8439,5792.1789,342
NoCache,p_q_6566e4ed_3,MEDIUM,nocache,1,0,0.0,0.0,0.0,0.0,1166.1034,2695.6791,260.7462,4133.6845,78
NoCache,p_q_6e543930_3,TIMELESS,nocache,2,0,0.0,0.0,0.0,0.0,850.2265,2130.4298,298.7855,3345.9749,64
NoCache,p_q_75db3e8b_1,REAL_TIME,nocache,4,0,0.0,0.0,0.0,0.0,1173.796,2186.6477,1200.3615,4608.7821,90
NoCache,p_q_7b820346_0,SLOW,nocache,1,0,0.0,0.0,0.0,0.0,905.5303,764.5593,763.6969,2465.1966,229
NoCache,p_q_813d0e0a_2,FAST,nocache,1,0,0.0,0.0,0.0,0.0,1470.8379,398.021,521.8136,2418.5149,123
NoCache,p_q_86cff9f1_0,SLOW,nocache,1,0,0.0,0.0,0.0,0.0,1138.4976,1332.5697,1215.4566,3697.0829,347
NoCache,p_q_89f7697b_3,SLOW,nocache,1,0,0.0,0.0,0.0,0.0,777.399,1867.3367,368.3315,3014.4365,106
NoCache,p_q_8b7e079f_3,MEDIUM,nocache,2,0,0.0,0.0,0.0,0.0,1494.7654,2407.8705,338.6772,4259.4322,101
NoCache,p_q_90168b95_3,FAST,nocache,2,0,0.0,0.0,0.0,0.0,918.2903,1799.3464,800.246,3518.9806,242
NoCache,p_q_91bc1860_3,FAST,nocache,2,0,0.0,0.0,0.0,0.0,954.884,1226.2761,915.448,3230.2718,301
NoCache,p_q_99ec603a_3,MEDIUM,nocache,1,0,0.0,0.0,0.0,0.0,1239.1231,694.1173,357.9373,2294.553,85
NoCache,p_q_a0cf70fb_0,FAST,nocache,1,0,0.0,0.0,0.0,0.0,1065.7223,127.9846,419.1879,1613.1077,125
NoCache,p_q_a377fb63_0,REAL_TIME,nocache,2,0,0.0,0.0,0.0,0.0,951.0384,291.3724,308.3237,1551.1281,32
NoCache,p_q_a3aad92f_1,SLOW,nocache,1,0,0.0,0.0,0.0,0.0,939.0275,809.5721,406.0533,2164.2231,104
NoCache,p_q_a7cec67e_0,SLOW,nocache,2,0,0.0,0.0,0.0,0.0,976.9687,3228.5231,230.9317,4440.9219,70
NoCache,p_q_b148b3f7_1,FAST,nocache,1,0,0.0,0.0,0.0,0.0,1165.0064,734.2497,926.4527,2893.603,277
NoCache,p_q_b9a75c82_3,MEDIUM,nocache,2,0,0.0,0.0,0.0,0.0,927.9472,1959.3587,1190.6701,4100.0898,413
NoCache,p_q_bc882466_0,REAL_TIME,nocache,4,0,0.0,0.0,0.0,0.0,1000.0577,845.4911,1227.8374,3082.3423,243
NoCache,p_q_c17d761a_1,SLOW,nocache,2,0,0.0,0.0,0.0,0.0,861.9498,1134.6759,344.7013,2421.5783,84
NoCache,p_q_d79c71e4_2,MEDIUM,nocache,1,0,0.0,0.0,0.0,0.0,1651.7468,777.5816,339.6737,2782.3334,82
NoCache,p_q_d9e3bc12_2,SLOW,nocache,4,0,0.0,0.0,0.0,0.0,1071.389,1457.6322,425.5058,2977.1753,87
NoCache,p_q_dc84c82b_0,TIMELESS,nocache,1,0,0.0,0.0,0.0,0.0,1137.1989,1010.8931,800.4037,2952.7191,245
NoCache,p_q_ef7d80f1_0,REAL_TIME,nocache,3,0,0.0,0.0,0.0,0.0,859.1081,786.7123,387.2405,2042.992,44
NoCache,p_q_ef7d80f1_2,REAL_TIME,nocache,3,0,0.0,0.0,0.0,0.0,836.3271,212.4567,864.0633,1921.1483,247
NoCache,p_q_fea8dfeb_0,MEDIUM,nocache,2,0,0.0,0.0,0.0,0.0,926.5441,1434.7205,295.3075,2708.5511,69
SemanticTTL_k1_16,p_q_000040_0,TIMELESS,L1,0,0,16.4718,8.0518,0.0,0.0,0.0,0.0,0.0,24.53,30
SemanticTTL_k1_16,p_q_000142_1,TIMELESS,L1,0,0,14.0723,0.6473,0.0,0.0,0.0,0.0,0.0,14.7235,30
SemanticTTL_k1_16,p_q_000331_1,REAL_TIME,realtime_bypass,4,0,0.0,0.0,0.0,0.0,946.7966,1447.1624,247.0892,2688.9692,75
SemanticTTL_k1_16,p_q_000331_3,REAL_TIME,realtime_bypass,4,0,0.0,0.0,0.0,0.0,911.8573,1090.1878,975.4065,3021.9836,275
SemanticTTL_k1_16,p_q_0b7949bb_0,FAST,L1,0,0,19.6722,3.1813,0.0,0.0,0.0,0.0,0.0,22.8588,30
SemanticTTL_k1_16,p_q_13071539_2,MEDIUM,L1,0,0,12.3892,0.5646,0.0,0.0,0.0,0.0,0.0,12.9577,30
SemanticTTL_k1_16,p_q_177880b1_0,MEDIUM,L1,0,0,12.5545,0.3594,0.0,0.0,0.0,0.0,0.0,12.9175,30
SemanticTTL_k1_16,p_q_1ef7404e_2,FAST,L1,0,0,11.8629,0.3235,0.0,0.0,0.0,0.0,0.0,12.1898,30
SemanticTTL_k1_16,p_q_26309cb6_1,FAST,L1,0,0,12.2183,5.0094,0.0,0.0,0.0,0.0,0.0,17.232,30
SemanticTTL_k1_16,p_q_35a57f29_2,TIMELESS,L1,0,0,13.1704,0.3362,0.0,0.0,0.0,0.0,0.0,13.5103,30
SemanticTTL_k1_16,p_q_3704b8f2_3,TIMELESS,L1,0,0,11.7431,0.3224,0.0,0.0,0.0,0.0,0.0,12.0804,30
SemanticTTL_k1_16,p_q_43affc2b_0,TIMELESS,L1,0,0,12.5364,0.3205,0.0,0.0,0.0,0.0,0.0,12.8601,30
SemanticTTL_k1_16,p_q_4d556954_1,TIMELESS,L1,0,0,12.375,0.3183,0.0,0.0,0.0,0.0,0.0,12.7071,30
SemanticTTL_k1_16,p_q_57755f05_2,SLOW,L1,0,0,11.6725,0.3127,0.0,0.0,0.0,0.0,0.0,11.9887,30
SemanticTTL_k1_16,p_q_5e007db1_0,REAL_TIME,realtime_bypass,3,0,0.0,0.0,0.0,0.0,906.1349,1713.7035,1245.5025,3898.6898,342
SemanticTTL_k1_16,p_q_6566e4ed_3,MEDIUM,L1,0,0,16.0098,4.9572,0.0,0.0,0.0,0.0,0.0,20.9718,30
SemanticTTL_k1_16,p_q_6e543930_3,TIMELESS,L1,0,0,12.0942,0.5124,0.0,0.0,0.0,0.0,0.0,12.6109,30
SemanticTTL_k1_16,p_q_75db3e8b_1,REAL_TIME,realtime_bypass,4,0,0.0,0.0,0.0,0.0,912.7299,1646.836,1223.234,3832.4685,90
SemanticTTL_k1_16,p_q_7b820346_0,SLOW,L1,0,0,14.7634,2.5049,0.0,0.0,0.0,0.0,0.0,17.2728,30
SemanticTTL_k1_16,p_q_813d0e0a_2,FAST,L1,0,0,11.8131,0.4672,0.0,0.0,0.0,0.0,0.0,12.285,30
SemanticTTL_k1_16,p_q_86cff9f1_0,SLOW,L1,0,0,13.3248,2.1046,0.0,0.0,0.0,0.0,0.0,15.4402,30
SemanticTTL_k1_16,p_q_89f7697b_3,SLOW,L1,0,0,11.6583,0.3149,0.0,0.0,0.0,0.0,0.0,11.9771,30
SemanticTTL_k1_16,p_q_8b7e079f_3,MEDIUM,L1,0,0,11.5862,0.3083,0.0,0.0,0.0,0.0,0.0,11.8979,30
SemanticTTL_k1_16,p_q_90168b95_3,FAST,L1,0,0,11.463,0.3031,0.0,0.0,0.0,0.0,0.0,11.77,30
SemanticTTL_k1_16,p_q_91bc1860_3,FAST,L1,0,0,11.7785,0.3007,0.0,0.0,0.0,0.0,0.0,12.0832,30
SemanticTTL_k1_16,p_q_99ec603a_3,MEDIUM,L1,0,0,11.4833,0.2999,0.0,0.0,0.0,0.0,0.0,11.7943,30
SemanticTTL_k1_16,p_q_a0cf70fb_0,FAST,L1,0,0,11.7356,0.2993,0.0,0.0,0.0,0.0,0.0,12.0382,30
SemanticTTL_k1_16,p_q_a377fb63_0,REAL_TIME,realtime_bypass,2,0,0.0,0.0,0.0,0.0,743.9626,732.4926,311.7849,1788.6252,32
SemanticTTL_k1_16,p_q_a3aad92f_1,SLOW,L1,0,0,13.6676,0.5853,0.0,0.0,0.0,0.0,0.0,14.2571,30
SemanticTTL_k1_16,p_q_a7cec67e_0,SLOW,L1,0,0,11.6793,0.4846,0.0,0.0,0.0,0.0,0.0,12.1675,30
SemanticTTL_k1_16,p_q_b148b3f7_1,FAST,L1,0,0,13.0903,0.3657,0.0,0.0,0.0,0.0,0.0,13.4603,30
SemanticTTL_k1_16,p_q_b9a75c82_3,MEDIUM,L1,0,0,11.2402,0.323,0.0,0.0,0.0,0.0,0.0,11.5664,30
SemanticTTL_k1_16,p_q_bc882466_0,REAL_TIME,realtime_bypass,4,0,0.0,0.0,0.0,0.0,1368.166,575.1664,1232.9642,3182.2778,243
SemanticTTL_k1_16,p_q_c17d761a_1,SLOW,L1,0,0,14.7025,2.4838,0.0,0.0,0.0,0.0,0.0,17.1913,30
SemanticTTL_k1_16,p_q_d79c71e4_2,MEDIUM,L1,0,0,11.853,0.4521,0.0,0.0,0.0,0.0,0.0,12.309,30
SemanticTTL_k1_16,p_q_d9e3bc12_2,SLOW,L1,0,0,13.1462,0.3242,0.0,0.0,0.0,0.0,0.0,13.4738,30
SemanticTTL_k1_16,p_q_dc84c82b_0,TIMELESS,miss,1,0,11.7162,0.3033,0.0,0.0,1666.7805,924.2991,799.3448,3406.1843,245
SemanticTTL_k1_16,p_q_ef7d80f1_0,REAL_TIME,realtime_bypass,3,0,0.0,0.0,0.0,0.0,1215.4046,2326.171,388.8357,3939.7321,44
SemanticTTL_k1_16,p_q_ef7d80f1_2,REAL_TIME,realtime_bypass,3,0,0.0,0.0,0.0,0.0,812.444,220.3896,889.0244,1929.7649,247
SemanticTTL_k1_16,p_q_fea8dfeb_0,MEDIUM,L1,0,0,14.0837,2.5111,0.0,0.0,0.0,0.0,0.0,16.6172,30
FreshCache_NoL1,p_q_000040_0,TIMELESS,L2,0,4,11.8291,0.0,49.0389,1.0567,0.0,0.0,1179.0,1241.6947,409
FreshCache_NoL1,p_q_000142_1,TIMELESS,L2,0,2,14.0546,0.0,79.454,0.6001,0.0,0.0,297.1206,391.6064,84
FreshCache_NoL1,p_q_000331_1,REAL_TIME,realtime_bypass,4,0,0.0,0.0,0.0,0.0,1267.7645,1434.1646,249.7775,2999.5353,75
FreshCache_NoL1,p_q_000331_3,REAL_TIME,realtime_bypass,4,0,0.0,0.0,0.0,0.0,888.0687,1145.2439,956.7369,3034.1613,275
FreshCache_NoL1,p_q_0b7949bb_0,FAST,miss,0,2,13.9397,0.0,34.0473,0.3876,1086.8481,0.0,709.8709,1845.4714,232
FreshCache_NoL1,p_q_13071539_2,MEDIUM,miss,0,1,12.6756,0.0,7.3219,0.2135,1263.5322,0.0,1121.7533,2405.9101,362
FreshCache_NoL1,p_q_177880b1_0,MEDIUM,L2,0,1,11.1991,0.0,28.5093,0.3706,0.0,0.0,214.3094,254.7289,59
FreshCache_NoL1,p_q_1ef7404e_2,FAST,L2,0,2,8.8111,0.0,6.9568,0.2275,0.0,0.0,308.11,324.3239,95
FreshCache_NoL1,p_q_26309cb6_1,FAST,miss,0,1,8.8956,0.0,15.067,0.169,1099.0263,0.0,574.3361,1697.7494,211
FreshCache_NoL1,p_q_35a57f29_2,TIMELESS,L2,0,1,9.6349,0.0,28.9307,0.2307,0.0,0.0,263.3301,302.329,103
FreshCache_NoL1,p_q_3704b8f2_3,TIMELESS,L2,0,1,9.2291,0.0,6.8676,0.2865,0.0,0.0,241.2434,257.8743,59
FreshCache_NoL1,p_q_43affc2b_0,TIMELESS,L2,0,2,9.4884,0.0,6.9787,0.2568,0.0,0.0,475.8983,492.9866,126
FreshCache_NoL1,p_q_4d556954_1,TIMELESS,L2,0,1,9.2719,0.0,7.1492,0.1753,0.0,0.0,520.4202,537.2369,159
FreshCache_NoL1,p_q_57755f05_2,SLOW,L2,0,1,9.1478,0.0,25.3157,0.1827,0.0,0.0,221.3541,256.1227,72
FreshCache_NoL1,p_q_5e007db1_0,REAL_TIME,realtime_bypass,3,0,0.0,0.0,0.0,0.0,1033.7687,2573.4484,1181.9407,4817.3413,342
FreshCache_NoL1,p_q_6566e4ed_3,MEDIUM,L2,0,1,10.4983,0.0,28.1419,0.3201,0.0,0.0,195.9239,235.0768,78
FreshCache_NoL1,p_q_6e543930_3,TIMELESS,L2,0,2,8.8299,0.0,6.8714,0.626,0.0,0.0,255.3992,272.032,64
FreshCache_NoL1,p_q_75db3e8b_1,REAL_TIME,realtime_bypass,4,0,0.0,0.0,0.0,0.0,835.5668,1714.2258,1260.7246,3859.0785,90
FreshCache_NoL1,p_q_7b820346_0,SLOW,L2,0,1,14.046,0.0,33.6386,0.4089,0.0,0.0,314.3532,362.7059,99
FreshCache_NoL1,p_q_813d0e0a_2,FAST,L2,0,1,11.8428,0.0,7.0245,0.1909,0.0,0.0,424.5318,443.8113,138
FreshCache_NoL1,p_q_86cff9f1_0,SLOW,L2,0,1,11.7246,0.0,6.9896,0.1942,0.0,0.0,1138.8877,1158.2214,375
FreshCache_NoL1,p_q_89f7697b_3,SLOW,L2,0,1,13.5491,0.0,33.5647,0.4165,0.0,0.0,416.4189,464.2219,101
FreshCache_NoL1,p_q_8b7e079f_3,MEDIUM,L2,0,2,11.8317,0.0,6.9859,0.2995,0.0,0.0,490.1593,509.6443,123
FreshCache_NoL1,p_q_90168b95_3,FAST,L2,0,2,11.945,0.0,29.4002,0.2567,0.0,0.0,519.9691,561.8283,162
FreshCache_NoL1,p_q_91bc1860_3,FAST,L2,0,1,12.3181,0.0,11.3224,0.2341,0.0,0.0,313.7263,337.8437,105
FreshCache_NoL1,p_q_99ec603a_3,MEDIUM,miss,0,1,9.2635,0.0,6.644,0.24,1046.0638,0.0,393.7863,1456.2832,96
FreshCache_NoL1,p_q_a0cf70fb_0,FAST,miss,0,1,9.2308,0.0,6.5961,0.1915,1047.6952,0.0,1090.9582,2155.015,366
FreshCache_NoL1,p_q_a377fb63_0,REAL_TIME,realtime_bypass,2,0,0.0,0.0,0.0,0.0,880.1423,359.0469,285.5391,1525.0217,32
FreshCache_NoL1,p_q_a3aad92f_1,SLOW,L2,0,1,10.6529,0.0,33.3803,0.2647,0.0,0.0,763.7118,808.3972,221
FreshCache_NoL1,p_q_a7cec67e_0,SLOW,L2,0,2,12.8623,0.0,8.5359,0.4316,0.0,0.0,220.5557,242.7541,77
FreshCache_NoL1,p_q_b148b3f7_1,FAST,miss,1,0,12.2674,0.0,35.5622,0.0,1277.411,811.4462,911.3471,3118.442,277
FreshCache_NoL1,p_q_b9a75c82_3,MEDIUM,L2,0,2,13.85,0.0,28.3619,0.4597,0.0,0.0,316.0571,359.121,62
FreshCache_NoL1,p_q_bc882466_0,REAL_TIME,realtime_bypass,4,0,0.0,0.0,0.0,0.0,1592.1493,719.1036,1238.3601,3558.2709,243
FreshCache_NoL1,p_q_c17d761a_1,SLOW,miss,0,2,13.9457,0.0,34.0671,0.4534,977.7805,0.0,380.1964,1406.8191,104
FreshCache_NoL1,p_q_d79c71e4_2,MEDIUM,L2,0,1,12.3523,0.0,7.108,0.1878,0.0,0.0,798.4333,818.3578,288
FreshCache_NoL1,p_q_d9e3bc12_2,SLOW,L2,0,4,13.9365,0.0,33.4165,0.4696,0.0,0.0,520.037,568.3274,146
FreshCache_NoL1,p_q_dc84c82b_0,TIMELESS,L2,0,1,12.7784,0.0,7.0981,0.3582,0.0,0.0,722.4071,742.9898,219
FreshCache_NoL1,p_q_ef7d80f1_0,REAL_TIME,realtime_bypass,3,0,0.0,0.0,0.0,0.0,764.5286,589.0865,387.4531,1750.3838,44
FreshCache_NoL1,p_q_ef7d80f1_2,REAL_TIME,realtime_bypass,3,0,0.0,0.0,0.0,0.0,711.6824,223.0723,902.9056,1845.6977,247
FreshCache_NoL1,p_q_fea8dfeb_0,MEDIUM,L2,0,1,10.8255,0.0,28.4448,0.3336,0.0,0.0,67.7671,107.5301,11
FreshCache,p_q_000040_0,TIMELESS,L1,0,0,9.7977,53.416,0.0,0.0,0.0,0.0,0.0,63.2171,30
FreshCache,p_q_000142_1,TIMELESS,L2,0,2,9.6162,29.6973,6.9238,0.2245,0.0,0.0,283.7714,330.4798,84
FreshCache,p_q_000331_1,REAL_TIME,realtime_bypass,4,0,0.0,0.0,0.0,0.0,821.6976,1430.7094,239.4992,2540.5652,75
FreshCache,p_q_000331_3,REAL_TIME,realtime_bypass,4,0,0.0,0.0,0.0,0.0,648.803,1021.4834,1022.0103,2710.3291,275
FreshCache,p_q_0b7949bb_0,FAST,miss,0,2,14.3028,50.1475,6.8888,0.3649,1194.1089,0.0,711.765,1977.9512,232
FreshCache,p_q_13071539_2,MEDIUM,miss,0,1,13.2974,24.9878,7.0263,0.3058,1941.3427,0.0,1120.0434,3107.3237,362
FreshCache,p_q_177880b1_0,MEDIUM,L1,0,0,10.7116,41.4261,0.0,0.0,0.0,0.0,0.0,52.1418,30
FreshCache,p_q_1ef7404e_2,FAST,L2,0,2,9.3854,16.9525,6.5581,0.3685,0.0,0.0,308.933,342.4465,95
FreshCache,p_q_26309cb6_1,FAST,miss,0,1,9.3837,28.0415,3.4825,0.1828,1168.845,0.0,578.2175,1788.3908,211
FreshCache,p_q_35a57f29_2,TIMELESS,L1,0,0,9.3887,37.6067,0.0,0.0,0.0,0.0,0.0,47.0014,30
FreshCache,p_q_3704b8f2_3,TIMELESS,L2,0,1,8.6758,20.0977,6.5231,0.1809,0.0,0.0,241.9009,277.5905,59
FreshCache,p_q_43affc2b_0,TIMELESS,L2,0,2,9.9129,25.7643,6.6518,0.2928,0.0,0.0,478.4693,521.4718,126
FreshCache,p_q_4d556954_1,TIMELESS,L2,0,1,10.537,21.5943,6.7413,0.2895,0.0,0.0,521.4863,560.8874,159
FreshCache,p_q_57755f05_2,SLOW,L2,0,1,9.3113,16.5957,6.7396,0.1723,0.0,0.0,221.1754,254.128,72
FreshCache,p_q_5e007db1_0,REAL_TIME,realtime_bypass,3,0,0.0,0.0,0.0,0.0,914.6167,1809.3335,1214.6604,3970.0426,342
FreshCache,p_q_6566e4ed_3,MEDIUM,L2,0,1,15.0404,52.6719,7.3361,0.3769,0.0,0.0,212.6163,288.2752,78
FreshCache,p_q_6e543930_3,TIMELESS,L2,0,2,13.2652,21.2093,7.2601,0.3239,0.0,0.0,272.5198,314.9472,64
FreshCache,p_q_75db3e8b_1,REAL_TIME,realtime_bypass,4,0,0.0,0.0,0.0,0.0,828.9164,1832.1105,1224.6141,3932.1855,90
FreshCache,p_q_7b820346_0,SLOW,L2,0,1,14.0246,51.2099,7.354,0.3439,0.0,0.0,320.9728,394.1167,99
FreshCache,p_q_813d0e0a_2,FAST,L2,0,1,12.3491,20.8785,7.2731,0.265,0.0,0.0,434.8727,475.8616,138
FreshCache,p_q_86cff9f1_0,SLOW,L2,0,1,12.1519,23.411,7.3193,0.1859,0.0,0.0,1142.5722,1186.0273,375
FreshCache,p_q_89f7697b_3,SLOW,L2,0,1,13.6421,48.2446,7.2274,0.385,0.0,0.0,416.6534,486.4343,101
FreshCache,p_q_8b7e079f_3,MEDIUM,L2,0,2,11.9943,21.5959,7.289,0.2902,0.0,0.0,485.1372,526.6205,123
FreshCache,p_q_90168b95_3,FAST,L2,0,2,9.4466,19.0052,6.9358,0.1869,0.0,0.0,495.1012,530.879,162
FreshCache,p_q_91bc1860_3,FAST,L2,0,1,9.63,40.6797,6.9037,0.2066,0.0,0.0,338.7342,396.3803,105
FreshCache,p_q_99ec603a_3,MEDIUM,miss,0,1,9.4233,18.709,6.9366,0.2379,1442.1859,0.0,393.4536,1871.225,96
FreshCache,p_q_a0cf70fb_0,FAST,miss,0,1,9.5109,19.3744,6.9913,0.1938,933.8518,0.0,1094.064,2064.327,366
FreshCache,p_q_a377fb63_0,REAL_TIME,realtime_bypass,2,0,0.0,0.0,0.0,0.0,705.7904,410.6913,300.4371,1417.1652,32
FreshCache,p_q_a3aad92f_1,SLOW,L2,0,1,10.2789,40.5829,6.9451,0.2375,0.0,0.0,727.5522,785.8934,221
FreshCache,p_q_a7cec67e_0,SLOW,L2,0,2,10.0461,19.3353,7.0096,0.3402,0.0,0.0,212.8472,249.8549,77
FreshCache,p_q_b148b3f7_1,FAST,miss,1,0,9.0762,39.8953,6.9227,0.0,1091.3967,778.6168,950.2526,2942.2873,277
FreshCache,p_q_b9a75c82_3,MEDIUM,L2,0,2,13.9395,39.9737,6.9941,0.4522,0.0,0.0,323.282,385.0308,62
FreshCache,p_q_bc882466_0,REAL_TIME,realtime_bypass,4,0,0.0,0.0,0.0,0.0,1066.4126,667.6635,1211.0086,2953.5355,243
FreshCache,p_q_c17d761a_1,SLOW,miss,0,2,11.3518,43.0272,6.9278,0.3658,658.5494,0.0,373.3618,1093.9251,104
FreshCache,p_q_d79c71e4_2,MEDIUM,miss,0,1,11.7974,19.8627,7.783,0.205,1712.8407,0.0,678.4064,2431.1679,233
FreshCache,p_q_d9e3bc12_2,SLOW,L2,0,4,10.383,43.7867,6.5392,0.447,0.0,0.0,502.3198,563.846,146
FreshCache,p_q_dc84c82b_0,TIMELESS,L2,0,1,9.0985,20.8383,6.5977,0.1909,0.0,0.0,708.0849,745.1433,219
FreshCache,p_q_ef7d80f1_0,REAL_TIME,realtime_bypass,3,0,0.0,0.0,0.0,0.0,886.0726,500.2893,381.887,1778.3189,44
FreshCache,p_q_ef7d80f1_2,REAL_TIME,realtime_bypass,3,0,0.0,0.0,0.0,0.0,945.5712,227.8805,890.5112,2073.7078,247
FreshCache,p_q_fea8dfeb_0,MEDIUM,L2,0,1,14.1648,53.2614,7.1942,0.366,0.0,0.0,70.8365,145.9827,11
