query_id,unit_id,class,gold,gold_year,volatility,request_t_s,version_at_t,unit_snapshot_round,orig_n_pages,orig_evidence_chars,orig_llama8b,orig_llama8b_raw,orig_qwen7b,orig_qwen7b_raw,orig_final,rev_mode,rev_evidence_chars,rev_llama8b,rev_qwen7b,rev_mistral7b,rev_majority,fidelity,in_107,in_57,evidence_pages_fetched_at
p_q_8efe208f_0,q_8efe208f@rerun_24h,TEMPORALLY_AMBIGUOUS,James Graham,2023,VOLATILE,331634.4270170167,rerun_24h,rerun_24h,1,813,SUPERSEDED_AT_T,"SUPERSEDED 

The evidence",INDETERMINATE_AT_T,INDETERMINATE,JUDGE_DISAGREEMENT,CURRENT,868,SUPERSEDED_AT_T,INDETERMINATE_AT_T,SUPERSEDED_AT_T,SUPERSEDED_AT_T,SAME,0,0,2026-06-13T14:36:25.877288+00:00|2026-06-13T14:36:28.455817+00:00
p_q_23baebab_2,q_23baebab@rerun_24h,CONTRADICTED,Eileen,2023,VOLATILE,224613.56859949022,rerun_24h,rerun_24h,1,2000,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,3136,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,JUDGE_DISAGREEMENT,0,0,2026-06-02T17:25:29.598411+00:00|2026-06-02T17:25:31.435873+00:00
p_q_2b37471e_0,q_2b37471e@rerun_24h,TEMPORALLY_AMBIGUOUS,Lost in area round to state quarterfinalist Dripping Springs 34-38,2023,VOLATILE,537304.7556869034,rerun_24h,rerun_24h,1,739,INDETERMINATE_AT_T,INDETERMINATE,INDETERMINATE_AT_T,INDETERMINATE,INDETERMINATE_AT_T,AS_STATED,739,INDETERMINATE_AT_T,CONTRADICTED_AS_STATED,VALID_AT_T,NO_MAJORITY,SAME,0,0,2026-06-02T17:28:18.295124+00:00
p_q_9ad3d8f7_0,q_9ad3d8f7@rerun_12h,UNVERIFIABLE,Parker Valby,2023,VOLATILE,73854.16870257564,rerun_12h,rerun_12h,2,2626,SUPERSEDED_AT_T,"SUPERSEDED

The evidence",INDETERMINATE_AT_T,INDETERMINATE,JUDGE_DISAGREEMENT,CURRENT,2884,VALID_AT_T,SUPERSEDED_AT_T,VALID_AT_T,VALID_AT_T,DIFFERENT,0,0,2026-06-13T03:33:16.002679+00:00|2026-06-13T03:33:18.460132+00:00
p_q_ea6dfe5b_0,q_ea6dfe5b@rerun_24h,TEMPORALLY_AMBIGUOUS,Paul Giamatti,2023,VOLATILE,552452.2278611797,rerun_24h,rerun_24h,1,535,INDETERMINATE_AT_T,INDETERMINATE,SUPERSEDED_AT_T,SUPERSEDED,JUDGE_DISAGREEMENT,CURRENT,535,INDETERMINATE_AT_T,SUPERSEDED_AT_T,SUPERSEDED_AT_T,SUPERSEDED_AT_T,SAME,0,0,2026-06-02T17:12:10.373115+00:00
p_q_5e69097f_1,q_5e69097f@rerun_24h,TEMPORALLY_AMBIGUOUS,Minot,2023,VOLATILE,202075.4057408179,rerun_24h,rerun_24h,1,1797,VALID_AT_T,"VALID

The evidence indicates that",SUPERSEDED_AT_T,SUPERSEDED,JUDGE_DISAGREEMENT,AS_STATED,1797,VALID_AT_T,CONTRADICTED_AS_STATED,VALID_AT_T,VALID_AT_T,DIFFERENT,0,0,2026-06-13T13:52:53.256089+00:00
p_q_311e11e2_1,q_311e11e2@rerun_24h,TEMPORALLY_AMBIGUOUS,Carefully Selected,2023,VOLATILE,273229.50519993703,rerun_24h,rerun_24h,1,634,INDETERMINATE_AT_T,INDETERMINATE,INDETERMINATE_AT_T,INDETERMINATE,INDETERMINATE_AT_T,CURRENT,634,INDETERMINATE_AT_T,SUPERSEDED_AT_T,SUPERSEDED_AT_T,SUPERSEDED_AT_T,SAME,0,0,2026-06-02T17:39:17.593460+00:00
p_q_66b78d55_0,q_66b78d55@rerun_24h,TEMPORALLY_AMBIGUOUS,Simu Liu,2023,VOLATILE,226629.16355726533,rerun_24h,rerun_24h,1,2000,VALID_AT_T,"VALID

The evidence lists the",INDETERMINATE_AT_T,INDETERMINATE,JUDGE_DISAGREEMENT,CURRENT,3771,VALID_AT_T,INDETERMINATE_AT_T,VALID_AT_T,VALID_AT_T,JUDGE_DISAGREEMENT,0,0,2026-06-13T14:30:33.805879+00:00
p_q_1c3ba216_2,q_1c3ba216@rerun_24h,TEMPORALLY_AMBIGUOUS,Annika Hocke / Robert Kunkel,2023,VOLATILE,567993.3383933123,rerun_24h,rerun_24h,1,264,INDETERMINATE_AT_T,INDETERMINATE,INDETERMINATE_AT_T,INDETERMINATE,INDETERMINATE_AT_T,CURRENT,264,INDETERMINATE_AT_T,INDETERMINATE_AT_T,,INDETERMINATE_AT_T,JUDGE_DISAGREEMENT,0,0,2026-06-02T17:11:55.298045+00:00
p_q_9c8a947a_1,q_9c8a947a@rerun_24h,TEMPORALLY_AMBIGUOUS,Le dispararon al pianista,2023,VOLATILE,298301.4169215509,rerun_24h,rerun_24h,1,1999,INDETERMINATE_AT_T,INDETERMINATE,INDETERMINATE_AT_T,INDETERMINATE,INDETERMINATE_AT_T,CURRENT,4999,SUPERSEDED_AT_T,INDETERMINATE_AT_T,VALID_AT_T,NO_MAJORITY,DIFFERENT,0,0,2026-05-17T00:22:47.240614+00:00
p_q_ef0e26fc_1,q_ef0e26fc@rerun_24h,TEMPORALLY_AMBIGUOUS,Jason Hart,2023,VOLATILE,323560.0215996556,rerun_24h,rerun_24h,1,599,INDETERMINATE_AT_T,INDETERMINATE,INDETERMINATE_AT_T,INDETERMINATE,INDETERMINATE_AT_T,CURRENT,599,INDETERMINATE_AT_T,INDETERMINATE_AT_T,,INDETERMINATE_AT_T,JUDGE_DISAGREEMENT,0,0,2026-06-13T15:08:23.233530+00:00
p_q_d0506c00_0,q_d0506c00@rerun_24h,CONTRADICTED,"Dalhousie University, Halifax, Nova Scotia, Canada",2023,VOLATILE,407975.5869320204,rerun_24h,rerun_24h,1,1703,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,1810,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,JUDGE_DISAGREEMENT,0,0,2026-06-13T15:48:25.045581+00:00|2026-06-13T15:48:28.529665+00:00
p_q_885601a2_3,q_885601a2@rerun_24h,CONTRADICTED,Sheikh Mohammed Obaid Al Maktoum,2023,VOLATILE,579425.9064257885,rerun_24h,rerun_24h,2,847,SUPERSEDED_AT_T,"SUPERSEDED 

The evidence",SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,847,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SAME,0,0,2026-06-13T15:11:58.705653+00:00|2026-06-13T15:12:01.172699+00:00
p_q_ff13db06_0,q_ff13db06@rerun_24h,CONTRADICTED,"Alesha Dixon, Hannah Waddingham, Julia Sanina  and Graham Norton",2023,VOLATILE,309438.10726786667,rerun_24h,rerun_24h,2,2802,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,7676,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,JUDGE_DISAGREEMENT,0,0,2026-06-13T15:07:48.243183+00:00|2026-06-13T15:07:50.726985+00:00
p_q_3c8e1699_1,q_3c8e1699@rerun_24h,TEMPORALLY_AMBIGUOUS,Pärnu Bay Golf Links,2023,VOLATILE,357253.74746453005,rerun_24h,rerun_24h,1,2000,VALID_AT_T,"VALID

The evidence mentions the",SUPERSEDED_AT_T,SUPERSEDED,JUDGE_DISAGREEMENT,AS_STATED,5096,VALID_AT_T,CONTRADICTED_AS_STATED,VALID_AT_T,VALID_AT_T,DIFFERENT,0,0,2026-06-02T18:13:07.965080+00:00|2026-06-02T18:13:11.766961+00:00
p_q_8b83e11f_0,q_8b83e11f@rerun_24h,CONTRADICTED,Vasco Vasconcelos,2023,VOLATILE,188604.77446735563,rerun_24h,rerun_24h,2,2802,SUPERSEDED_AT_T,"SUPERSEDED

The evidence",SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,10002,VALID_AT_T,SUPERSEDED_AT_T,INDETERMINATE_AT_T,NO_MAJORITY,JUDGE_DISAGREEMENT,0,0,2026-06-13T15:17:29.064109+00:00|2026-06-13T15:17:31.858531+00:00
p_q_21078da3_1,q_21078da3@rerun_24h,TEMPORALLY_AMBIGUOUS,Sania Mirza Rohan Bopanna,2023,VOLATILE,409360.2513055164,rerun_24h,rerun_24h,1,659,INDETERMINATE_AT_T,INDETERMINATE,SUPERSEDED_AT_T,SUPERSEDED,JUDGE_DISAGREEMENT,CURRENT,726,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SAME,0,0,2026-06-13T14:41:25.953203+00:00|2026-06-13T14:41:28.575309+00:00
p_q_297334f5_3,q_297334f5@rerun_24h,CONTRADICTED,Mark Butterworth,2023,VOLATILE,536778.6807554624,rerun_24h,rerun_24h,1,2000,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,2989,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SAME,0,0,2026-06-13T15:03:16.863735+00:00
p_q_badb7460_3,q_badb7460@rerun_24h,CONTRADICTED,Society of the Snow,2023,VOLATILE,267195.9071639499,rerun_24h,rerun_24h,1,1744,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,1744,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SAME,0,0,2026-06-02T17:39:45.572081+00:00
p_q_5284772a_2,q_5284772a@rerun_24h,TEMPORALLY_AMBIGUOUS,Adolis García,2023,VOLATILE,469037.19764963974,rerun_24h,rerun_24h,1,2000,SUPERSEDED_AT_T,"SUPERSEDED

The evidence",INDETERMINATE_AT_T,INDETERMINATE,JUDGE_DISAGREEMENT,CURRENT,5000,VALID_AT_T,SUPERSEDED_AT_T,VALID_AT_T,VALID_AT_T,SAME,1,0,2026-06-13T14:08:09.060172+00:00
p_q_76a7b4a6_1,q_76a7b4a6@rerun_24h,TEMPORALLY_AMBIGUOUS,−15,2023,VOLATILE,255471.9858559036,rerun_24h,rerun_24h,2,1311,INDETERMINATE_AT_T,INDETERMINATE,INDETERMINATE_AT_T,INDETERMINATE,INDETERMINATE_AT_T,CURRENT,1311,INDETERMINATE_AT_T,INDETERMINATE_AT_T,,INDETERMINATE_AT_T,JUDGE_DISAGREEMENT,0,0,2026-06-13T14:52:53.645230+00:00|2026-06-13T15:18:54.413571+00:00
p_q_b16f0265_3,q_b16f0265@rerun_24h,TEMPORALLY_AMBIGUOUS,Oisin Murphy,2023,VOLATILE,500659.29332614486,rerun_24h,rerun_24h,1,623,INDETERMINATE_AT_T,INDETERMINATE,INDETERMINATE_AT_T,INDETERMINATE,INDETERMINATE_AT_T,CURRENT,623,INDETERMINATE_AT_T,INDETERMINATE_AT_T,,INDETERMINATE_AT_T,JUDGE_DISAGREEMENT,0,0,2026-06-13T14:00:52.217892+00:00
p_q_26393420_2,q_26393420@rerun_24h,CONTRADICTED,Saeed bin Suroor,2023,VOLATILE,593718.6139277852,rerun_24h,rerun_24h,2,2654,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,5654,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,JUDGE_DISAGREEMENT,0,0,2026-05-24T06:48:18.537646+00:00|2026-05-24T06:48:18.537646+00:00|2026-05-24T06:48:22.265343+00:00|2026-05-24T06:48:22.265343+00:00
p_q_830461c0_2,q_830461c0@rerun_24h,TEMPORALLY_AMBIGUOUS,Aga Khan IV,2023,VOLATILE,205717.63831347777,rerun_24h,rerun_24h,1,624,INDETERMINATE_AT_T,INDETERMINATE,SUPERSEDED_AT_T,SUPERSEDED,JUDGE_DISAGREEMENT,CURRENT,624,INDETERMINATE_AT_T,SUPERSEDED_AT_T,INDETERMINATE_AT_T,INDETERMINATE_AT_T,SAME,0,0,2026-06-13T15:14:58.939372+00:00
p_q_ebb666ba_1,q_ebb666ba@rerun_24h,TEMPORALLY_AMBIGUOUS,Harper Murray,2023,VOLATILE,352072.7325719836,rerun_24h,rerun_24h,2,2666,VALID_AT_T,"VALID

The evidence mentions S",SUPERSEDED_AT_T,SUPERSEDED,JUDGE_DISAGREEMENT,CURRENT,4601,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SAME,0,0,2026-06-02T17:24:34.975020+00:00|2026-06-02T17:24:37.595513+00:00
p_q_d26e3359_0,q_d26e3359@rerun_24h,TEMPORALLY_AMBIGUOUS,Charlie Appleby,2023,VOLATILE,373914.36617184296,rerun_24h,rerun_24h,1,631,INDETERMINATE_AT_T,INDETERMINATE,SUPERSEDED_AT_T,SUPERSEDED,JUDGE_DISAGREEMENT,CURRENT,642,INDETERMINATE_AT_T,INDETERMINATE_AT_T,,INDETERMINATE_AT_T,SAME,0,0,2026-06-13T14:11:07.423504+00:00|2026-06-13T14:11:09.708268+00:00
p_q_efbe3181_2,q_efbe3181@rerun_24h,TEMPORALLY_AMBIGUOUS,Phil Murphy,2023,VOLATILE,462979.36018530716,rerun_24h,rerun_24h,1,2000,VALID_AT_T,"VALID

The evidence indicates that",SUPERSEDED_AT_T,SUPERSEDED,JUDGE_DISAGREEMENT,CURRENT,4999,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SAME,0,0,2026-06-13T14:28:49.295013+00:00
p_q_63c4c1ca_1,q_63c4c1ca@rerun_24h,CONTRADICTED,Shavasana,2023,VOLATILE,240293.9758118359,rerun_24h,rerun_24h,1,600,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,729,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,JUDGE_DISAGREEMENT,0,0,2026-06-13T13:56:13.439191+00:00|2026-06-13T13:56:15.875982+00:00
p_q_69b0bd6d_3,q_69b0bd6d@rerun_24h,TEMPORALLY_AMBIGUOUS,France,2023,VOLATILE,486567.3159573846,rerun_24h,rerun_24h,1,2000,VALID_AT_T,"VALID

The evidence indicates that",SUPERSEDED_AT_T,SUPERSEDED,JUDGE_DISAGREEMENT,CURRENT,5000,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SAME,0,0,2026-06-02T17:46:13.264922+00:00
p_q_fa771a57_1,q_fa771a57@rerun_24h,CONTRADICTED,U Carrot Farm,2023,VOLATILE,326006.7706538327,rerun_24h,rerun_24h,1,2000,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,5000,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,JUDGE_DISAGREEMENT,0,0,2026-06-02T17:16:16.908233+00:00
p_q_b38c44e9_2,q_b38c44e9@rerun_24h,CONTRADICTED,"Nashville, Tennessee",2023,VOLATILE,101383.16001651883,rerun_24h,rerun_24h,1,2000,SUPERSEDED_AT_T,"SUPERSEDED 

The evidence",SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,4289,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,JUDGE_DISAGREEMENT,0,0,2026-06-02T17:17:51.255064+00:00
p_q_30501636_1,q_30501636@rerun_24h,TEMPORALLY_AMBIGUOUS,La Zarra,2023,VOLATILE,251981.9897798605,rerun_24h,rerun_24h,1,2000,VALID_AT_T,"VALID

The evidence clearly states",SUPERSEDED_AT_T,SUPERSEDED,JUDGE_DISAGREEMENT,CURRENT,2712,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SAME,0,0,2026-06-02T17:27:31.146176+00:00
p_q_8fda5466_3,q_8fda5466@rerun_12h,CONTRADICTED,Steven Alker NIR Darren Clarke Ken Tanigawa Mike Weir,2023,VOLATILE,60915.423375958824,rerun_12h,rerun_12h,2,1725,SUPERSEDED_AT_T,"SUPERSEDED

The evidence",SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,AS_STATED,1725,VALID_AT_T,CONTRADICTED_AS_STATED,VALID_AT_T,VALID_AT_T,SAME,1,0,2026-06-13T03:26:32.797030+00:00|2026-06-13T03:26:34.842463+00:00
p_q_b9e48bff_0,q_b9e48bff@rerun_24h,TEMPORALLY_AMBIGUOUS,Repole Stable & St. Elias Stable,2023,VOLATILE,141095.53050298517,rerun_24h,rerun_24h,1,2000,VALID_AT_T,"VALID

The evidence mentions that",SUPERSEDED_AT_T,SUPERSEDED,JUDGE_DISAGREEMENT,CURRENT,5000,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,JUDGE_DISAGREEMENT,0,0,2026-06-13T14:55:47.823171+00:00
p_q_a6ef6cf2_3,q_a6ef6cf2@rerun_24h,TEMPORALLY_AMBIGUOUS,Lael Stables,2023,VOLATILE,413282.28425284056,rerun_24h,rerun_24h,1,621,INDETERMINATE_AT_T,INDETERMINATE,SUPERSEDED_AT_T,SUPERSEDED,JUDGE_DISAGREEMENT,CURRENT,695,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SAME,0,0,2026-06-13T14:49:47.289038+00:00|2026-06-13T14:49:49.937491+00:00
p_q_b9172601_3,q_b9172601@rerun_24h,CONTRADICTED,Endangered Species,2023,VOLATILE,346306.21164488315,rerun_24h,rerun_24h,1,1999,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,5000,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SAME,0,0,2026-06-13T15:27:09.419925+00:00
p_q_e78970aa_1,q_e78970aa@rerun_24h,CONTRADICTED,Lachlan Hosie,2023,VOLATILE,130309.20222591367,rerun_24h,rerun_24h,1,2000,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,2674,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SAME,0,0,2026-06-02T17:49:41.167546+00:00
p_q_d9d96160_3,q_d9d96160@rerun_24h,CONTRADICTED,Louis Theroux,2023,VOLATILE,125219.16234764106,rerun_24h,rerun_24h,1,664,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,749,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,JUDGE_DISAGREEMENT,0,0,2026-06-13T13:54:55.126824+00:00|2026-06-13T13:54:57.648429+00:00
p_q_b37309f3_2,q_b37309f3@rerun_24h,SUPPORTED,Ancient Wisdom,2023,VOLATILE,437367.7459598193,rerun_24h,rerun_24h,1,619,VALID_AT_T,VALID,VALID_AT_T,VALID,VALID_AT_T,CURRENT,619,VALID_AT_T,VALID_AT_T,,VALID_AT_T,SAME,1,1,2026-06-13T15:57:25.215444+00:00
p_q_d23ca3b3_1,q_d23ca3b3@rerun_24h,CONTRADICTED,27-9,2023,VOLATILE,278460.2324849467,rerun_24h,rerun_24h,1,2000,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,2656,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,JUDGE_DISAGREEMENT,0,0,2026-06-13T14:55:07.032423+00:00
p_q_3ec48396_1,q_3ec48396@rerun_24h,CONTRADICTED,HC85 series DEMU,2023,VOLATILE,263781.7439756748,rerun_24h,rerun_24h,2,2802,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,7485,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SAME,0,0,2026-06-13T14:09:13.145592+00:00|2026-06-13T14:09:15.465841+00:00
p_q_ebb666ba_3,q_ebb666ba@rerun_24h,TEMPORALLY_AMBIGUOUS,Harper Murray,2023,VOLATILE,540391.2676159851,rerun_24h,rerun_24h,2,2666,VALID_AT_T,"VALID

The evidence mentions S",SUPERSEDED_AT_T,SUPERSEDED,JUDGE_DISAGREEMENT,CURRENT,4601,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SAME,0,0,2026-06-02T17:24:34.975020+00:00|2026-06-02T17:24:37.595513+00:00
p_q_d093f991_3,q_d093f991@rerun_24h,TEMPORALLY_AMBIGUOUS,Cheveley Park Stud,2023,VOLATILE,475149.32939833147,rerun_24h,rerun_24h,1,628,INDETERMINATE_AT_T,INDETERMINATE,INDETERMINATE_AT_T,INDETERMINATE,INDETERMINATE_AT_T,CURRENT,628,INDETERMINATE_AT_T,INDETERMINATE_AT_T,,INDETERMINATE_AT_T,SAME,0,0,2026-06-13T15:53:18.626861+00:00
p_q_30b7af38_1,q_30b7af38@rerun_24h,TEMPORALLY_AMBIGUOUS,Masayuki Nishimura,2023,VOLATILE,396011.82283339143,rerun_24h,rerun_24h,1,2000,VALID_AT_T,VALID,SUPERSEDED_AT_T,SUPERSEDED,JUDGE_DISAGREEMENT,CURRENT,4915,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SAME,0,0,2026-06-02T17:18:16.791824+00:00
p_q_8500b23d_1,q_8500b23d@rerun_24h,TEMPORALLY_AMBIGUOUS,Canada,2023,VOLATILE,526731.7227211724,rerun_24h,rerun_24h,1,655,INDETERMINATE_AT_T,INDETERMINATE,SUPERSEDED_AT_T,SUPERSEDED,JUDGE_DISAGREEMENT,CURRENT,655,INDETERMINATE_AT_T,SUPERSEDED_AT_T,SUPERSEDED_AT_T,SUPERSEDED_AT_T,JUDGE_DISAGREEMENT,0,0,2026-06-13T15:34:51.589226+00:00
