query_id,fc_tier,lv_tier,lv_verdict,serving_changed,fresh,fc,lv,fc_wai,lv_wai,fc_suff_llama8b,fc_suff_qwen7b,lv_suff_llama8b,lv_suff_qwen7b,fc_suff_agreed,lv_suff_agreed
p_q_ebb666ba_1,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,SUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_d26e3359_0,miss,miss,,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_efbe3181_2,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
p_q_63c4c1ca_1,L1,L1,,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_69b0bd6d_3,miss,miss,,1,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_fa771a57_1,miss,miss,,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_b38c44e9_2,L2,L2,ACCEPT,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_30501636_1,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,JUDGE_DISAGREEMENT,SUFFICIENT
p_q_8fda5466_3,L2,L2,ACCEPT,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_b9e48bff_0,L2,L2,ACCEPT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT
p_q_a6ef6cf2_3,miss,L2,ACCEPT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_b9172601_3,L2,L2,ACCEPT,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
p_q_e78970aa_1,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
p_q_d9d96160_3,L2,L2,ACCEPT,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_b37309f3_2,miss,miss_rejected,REJECT,1,CORRECT,CORRECT,CORRECT,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
p_q_d23ca3b3_1,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_3ec48396_1,L1,L1,,0,WRONG,CORRECT,CORRECT,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_ebb666ba_3,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_d093f991_3,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_30b7af38_1,miss,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_8500b23d_1,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_180c42e7_2,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,INSUFFICIENT
p_q_3cff3dce_2,L2,L2,ACCEPT,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_33b33ec1_2,miss,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_23194df6_1,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,SUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_52957594_0,miss,miss,,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
p_q_51c973e7_3,L2,L2,ACCEPT,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_6657182b_0,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,SUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_2f36649c_0,L2,L2,ACCEPT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT
p_q_22adabe9_1,miss,miss,,0,CORRECT,CORRECT,CORRECT,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_10fbddc5_2,miss,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_dd7cbef3_0,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_1c1961cd_2,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_9d61a241_0,L2,L2,ACCEPT,1,WRONG,WRONG,WRONG,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
p_q_611d707f_0,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_cf72c65f_3,L2,L2,ACCEPT,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
p_q_113fc559_1,L2,L2,ACCEPT,1,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_79078e30_1,L2,L2,ACCEPT,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_c8436957_2,miss,miss,,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_ea668263_1,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_9fb844a5_3,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,SUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_2cbafc2e_1,L2,L2,ACCEPT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_77f52421_1,L1,L1,,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,SUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_e52c4939_1,miss,L2,ACCEPT,1,WRONG,WRONG,WRONG,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
p_q_1816d40e_1,miss,miss,,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
p_q_91044e4b_2,L2,L2,ACCEPT,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
p_q_0095371b_0,miss,L2,ACCEPT,1,WRONG,WRONG,WRONG,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
p_q_60e402de_3,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,SUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_2c023058_3,L2,L2,ACCEPT,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_534fcd60_3,L2,L2,ACCEPT,0,CORRECT,CORRECT,CORRECT,0,0,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,SUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
q_5aac65b6,L2,L2,ACCEPT,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
q_3c8d7d2d,miss,miss,,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
q_af23c4b7,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
q_f9667c6d,L1,L1,,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
q_dcc6b248,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,SUFFICIENT,SUFFICIENT,INSUFFICIENT,SUFFICIENT
q_6a9f5944,miss,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
q_5e68b428,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
q_b5910f81,L2,L2,ACCEPT,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
q_9b65bcba,miss,miss,,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
q_88bc6deb,L2,L2,ACCEPT,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
q_595ca0b6,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
q_2ca95d4e,miss,miss,,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
q_5d7bcc7e,miss,miss,,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
q_6657182b,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_7889631c_0,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_4ec7b3d4_1,miss,miss,,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_613da476_0,miss,miss,,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_0df35e70_1,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_e9470503_0,miss,miss,,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_c6088f4c_2,L2,L2,ACCEPT,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
p_q_1ef14187_0,miss,miss,,1,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_25725075_0,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_58db0825_0,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_032b7664_1,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_039dd524_2,miss,miss,,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
p_q_268237ac_1,miss,miss,,0,CORRECT,CORRECT,CORRECT,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_33ca27e1_3,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_3f0409f7_0,miss,miss,,1,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_802fd2cb_1,miss,miss,,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_33ca27e1_0,miss,miss,,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_7810cebf_0,L2,L2,ACCEPT,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
p_q_039dd524_1,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_2ac34d0d_1,miss,miss,,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
p_q_a3b0afc4_2,L2,L2,ACCEPT,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_470d2d0f_2,L2,miss_rejected,REJECT,1,CORRECT,CORRECT,CORRECT,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_4e2156f7_3,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_feab2243_2,L2,L2,ACCEPT,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_80aff2cd_0,miss,miss,,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_b91d68ca_2,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_a9f6ddd4_2,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_7c47387f_2,miss,miss,,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
p_q_7378baa7_0,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_f0b3ece2_2,L2,miss,,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_12d05949_0,miss,miss,,1,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_c0c0cc7f_0,L2,L2,ACCEPT,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
p_q_ec0efdba_2,miss,miss,,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
