unit_id,base_query_id,base_query,snapshot_round,gold,gold_source,gold_year,volatility,freshness_classes,question_type,mode,n_pages_kept,evidence_chars,old_evidence_chars,old_pages_kept,old_status,request_ids,status_llama8b,status_qwen7b,status_mistral7b,status_pair,status_majority,majority_source
q_02fa4ec7@rerun_12h,q_02fa4ec7,Who was the top league scorer for Everton F.C.?,rerun_12h,d. mcneil,temporal_align_qa,2023,VOLATILE,MEDIUM,HISTORICAL,AS_STATED,1,1741,1741,1,SUPERSEDED_AT_T,p_q_02fa4ec7_1,VALID_AT_T,CONTRADICTED_AS_STATED,VALID_AT_T,JUDGE_DISAGREEMENT,VALID_AT_T,third_judge_majority
q_032b7664@rerun_12h,q_032b7664,Who are presenting the trophy at the Kentucky Derby?,rerun_12h,rebecca lowe and ahmed fareed,temporal_align_qa,2023,VOLATILE,MEDIUM,RECURRING_UNMARKED,CURRENT,1,622,622,1,INDETERMINATE_AT_T,p_q_032b7664_1,INDETERMINATE_AT_T,SUPERSEDED_AT_T,INDETERMINATE_AT_T,JUDGE_DISAGREEMENT,INDETERMINATE_AT_T,third_judge_majority
q_039dd524@rerun_24h,q_039dd524,From what school did the latest Dan Hodge Trophy winner come from?,rerun_24h,michigan,temporal_align_qa,2023,VOLATILE,MEDIUM,CURRENT_SEEKING,CURRENT,2,7015,2802,2,SUPERSEDED_AT_T,p_q_039dd524_2|p_q_039dd524_1,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SUPERSEDED_AT_T,pair_agreement
q_03f72c57@rerun_24h,q_03f72c57,Where was the last FA Trophy final held?,rerun_24h,wembley stadium,temporal_align_qa,2023,VOLATILE,SLOW,HISTORICAL,AS_STATED,1,3651,2000,1,JUDGE_DISAGREEMENT,p_q_03f72c57_0,VALID_AT_T,CONTRADICTED_AS_STATED,VALID_AT_T,JUDGE_DISAGREEMENT,VALID_AT_T,third_judge_majority
q_04a0842f@rerun_24h,q_04a0842f,In what city did the first successful heart transplant from a pig to a human patient take place?,rerun_24h,baltimore,freshqa,2022,SINGLE_YEAR,TIMELESS,HISTORICAL,AS_STATED,3,10654,2804,3,VALID_AT_T,q_04a0842f,VALID_AT_T,VALID_AT_T,,VALID_AT_T,VALID_AT_T,pair_agreement
q_04a7276c@rerun_24h,q_04a7276c,What type of bird is a ptarmigan?,rerun_24h,grouse,triviaqa,,NOT_TIME_KEYED,TIMELESS,RECURRING_UNMARKED,CURRENT,1,433,433,1,INDETERMINATE_AT_T,q_04a7276c,INDETERMINATE_AT_T,INDETERMINATE_AT_T,,INDETERMINATE_AT_T,INDETERMINATE_AT_T,pair_agreement
q_04bb5dc1@rerun_24h,q_04bb5dc1,Which horse won the Chesham Stakes most recently?,rerun_24h,snellen,temporal_align_qa,2023,VOLATILE,FAST,CURRENT_SEEKING,CURRENT,1,627,627,1,SUPERSEDED_AT_T,p_q_04bb5dc1_2,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SUPERSEDED_AT_T,pair_agreement
q_056f7935@rerun_24h,q_056f7935,Which city is the home of the most recent champion of the Campeonato Paulista Série A3?,rerun_24h,capivari,temporal_align_qa,2023,VOLATILE,FAST,CURRENT_SEEKING,CURRENT,1,626,626,1,JUDGE_DISAGREEMENT,p_q_056f7935_3,INDETERMINATE_AT_T,SUPERSEDED_AT_T,SUPERSEDED_AT_T,JUDGE_DISAGREEMENT,SUPERSEDED_AT_T,third_judge_majority
q_06267d08@rerun_24h,q_06267d08,Who were the editors of the 'Varsity' (Cambridge) publication in the Michaelmas term most recently?,rerun_24h,megan byrom & famke veenstra-ashmore,temporal_align_qa,2023,VOLATILE,FAST,CURRENT_SEEKING,CURRENT,1,5000,1999,1,JUDGE_DISAGREEMENT,p_q_06267d08_1,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SUPERSEDED_AT_T,pair_agreement
q_06c15fe9@rerun_24h,q_06c15fe9,What colour is Santa Claus' belt?,rerun_24h,black,triviaqa,,NOT_TIME_KEYED,TIMELESS,RECURRING_UNMARKED,CURRENT,2,1266,1227,1,VALID_AT_T,p_q_06c15fe9_1,VALID_AT_T,SUPERSEDED_AT_T,VALID_AT_T,JUDGE_DISAGREEMENT,VALID_AT_T,third_judge_majority
q_083bf58e@rerun_24h,q_083bf58e,Who is the current kit supplier for the Peru national football team?,rerun_24h,germany adidas,temporal_align_qa,2023,VOLATILE,SLOW,CURRENT_SEEKING,CURRENT,1,4320,2000,1,JUDGE_DISAGREEMENT,p_q_083bf58e_1,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SUPERSEDED_AT_T,pair_agreement
q_0862570f@rerun_24h,q_0862570f,Who holds the position of representative for Utah's 4th congressional district?,rerun_24h,burgess owens,temporal_align_qa,2023,VOLATILE,SLOW,RECURRING_UNMARKED,CURRENT,1,1472,1472,1,VALID_AT_T,p_q_0862570f_2,VALID_AT_T,VALID_AT_T,,VALID_AT_T,VALID_AT_T,pair_agreement
q_0899721b@rerun_24h,q_0899721b,Who is the University of California student regent?,rerun_24h,marlenee blas pedral,temporal_align_qa,2023,VOLATILE,MEDIUM,RECURRING_UNMARKED,CURRENT,2,1586,1465,1,SUPERSEDED_AT_T,p_q_0899721b_0,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SUPERSEDED_AT_T,pair_agreement
q_091915f0@rerun_24h,q_091915f0,Which horse won the Persian War Novices' Hurdle recently?,rerun_24h,captain teague,temporal_align_qa,2023,VOLATILE,FAST,CURRENT_SEEKING,CURRENT,1,648,648,1,SUPERSEDED_AT_T,p_q_091915f0_0,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SUPERSEDED_AT_T,pair_agreement
q_091c3460@rerun_24h,q_091c3460,Which basketball team is the most recent runner-up in the Georgian Superliga?,rerun_24h,bc rustavi,temporal_align_qa,2023,VOLATILE,SLOW,CURRENT_SEEKING,CURRENT,1,318,318,1,INDETERMINATE_AT_T,p_q_091c3460_2,INDETERMINATE_AT_T,INDETERMINATE_AT_T,,INDETERMINATE_AT_T,INDETERMINATE_AT_T,pair_agreement
q_093b18d5@rerun_24h,q_093b18d5,Who owned the winning horse in the latest Takamatsunomiya Kinen?,rerun_24h,koji yasuhara,temporal_align_qa,2023,VOLATILE,FAST,CURRENT_SEEKING,CURRENT,2,2583,2583,2,JUDGE_DISAGREEMENT,q_093b18d5,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SUPERSEDED_AT_T,pair_agreement
q_09b65984@rerun_1h,q_09b65984,What is the chemical compound Calcium Oxide commonly known as?,rerun_1h,quicklime (or burnt lime),triviaqa,,NOT_TIME_KEYED,TIMELESS,RECURRING_UNMARKED,CURRENT,2,5071,2000,1,VALID_AT_T,q_09b65984,VALID_AT_T,VALID_AT_T,,VALID_AT_T,VALID_AT_T,pair_agreement
q_0a3d5709@rerun_24h,q_0a3d5709,Which football club is the current champion of the NIFL Championship?,rerun_24h,loughgall,temporal_align_qa,2023,VOLATILE,MEDIUM,CURRENT_SEEKING,CURRENT,1,322,322,1,JUDGE_DISAGREEMENT,p_q_0a3d5709_3,INDETERMINATE_AT_T,SUPERSEDED_AT_T,INDETERMINATE_AT_T,JUDGE_DISAGREEMENT,INDETERMINATE_AT_T,third_judge_majority
q_0a45943e@rerun_24h,q_0a45943e,Carl XVI Gustav became king of which European country in September 1973?,rerun_24h,sweden,triviaqa,,NOT_TIME_KEYED,TIMELESS,DATED,AS_STATED,1,1044,1044,1,VALID_AT_T,p_q_0a45943e_0,VALID_AT_T,VALID_AT_T,,VALID_AT_T,VALID_AT_T,pair_agreement
q_0a6fd0c3@rerun_24h,q_0a6fd0c3,Who is the jockey that rode the latest winning horse in the Prix Jean-Luc Lagardère?,rerun_24h,sean levey,temporal_align_qa,2023,VOLATILE,MEDIUM,CURRENT_SEEKING,CURRENT,1,613,613,1,INDETERMINATE_AT_T,p_q_0a6fd0c3_1|p_q_0a6fd0c3_0,INDETERMINATE_AT_T,INDETERMINATE_AT_T,,INDETERMINATE_AT_T,INDETERMINATE_AT_T,pair_agreement
q_0abe1d0e@rerun_24h,q_0abe1d0e,What was the number of conference wins achieved by the Clemson Tigers men's soccer team in their latest season?,rerun_24h,4,temporal_align_qa,2023,VOLATILE,SLOW,CURRENT_SEEKING,CURRENT,1,3893,2000,1,JUDGE_DISAGREEMENT,p_q_0abe1d0e_2,INDETERMINATE_AT_T,INDETERMINATE_AT_T,,INDETERMINATE_AT_T,INDETERMINATE_AT_T,pair_agreement
q_0b649394@rerun_24h,q_0b649394,The War of Jenkins' Ear was part of which bigger war?,rerun_24h,austrian succession,triviaqa,,NOT_TIME_KEYED,TIMELESS,HISTORICAL,AS_STATED,1,4999,2000,1,JUDGE_DISAGREEMENT,p_q_0b649394_1,VALID_AT_T,VALID_AT_T,,VALID_AT_T,VALID_AT_T,pair_agreement
q_0bf77f06@rerun_24h,q_0bf77f06,Who is the PFA Scotland Players' Player of the Year for the Scottish Championship?,rerun_24h,dipo akinyemi,temporal_align_qa,2023,VOLATILE,MEDIUM,RECURRING_UNMARKED,CURRENT,2,1212,1196,1,SUPERSEDED_AT_T,p_q_0bf77f06_0,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SUPERSEDED_AT_T,pair_agreement
q_0c3fca22@rerun_24h,q_0c3fca22,What is the name of the index of average daily prices on the New York Stock Exchange?,rerun_24h,dow jones,triviaqa,,NOT_TIME_KEYED,TIMELESS,RECURRING_UNMARKED,CURRENT,1,3582,1999,1,JUDGE_DISAGREEMENT,p_q_0c3fca22_0,INDETERMINATE_AT_T,INDETERMINATE_AT_T,,INDETERMINATE_AT_T,INDETERMINATE_AT_T,pair_agreement
q_0c4788f0@rerun_24h,q_0c4788f0,Welsh singer Michael Barratt is better known by which name?,rerun_24h,shakin' stevens,triviaqa,,NOT_TIME_KEYED,TIMELESS,RECURRING_UNMARKED,CURRENT,1,770,770,1,VALID_AT_T,p_q_0c4788f0_0|p_q_0c4788f0_1,VALID_AT_T,VALID_AT_T,,VALID_AT_T,VALID_AT_T,pair_agreement
q_0c61ace3@rerun_24h,q_0c61ace3,Which athlete won the Giant Slalom Men's World Cup?,rerun_24h,marco odermatt,temporal_align_qa,2023,VOLATILE,MEDIUM,RECURRING_UNMARKED,CURRENT,1,4561,2000,1,SUPERSEDED_AT_T,p_q_0c61ace3_3,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SUPERSEDED_AT_T,pair_agreement
q_0c7e44a5@rerun_24h,q_0c7e44a5,Who is the current senator representing the Lagos West Senatorial District?,rerun_24h,oluranti adebule,temporal_align_qa,2023,VOLATILE,SLOW,CURRENT_SEEKING,CURRENT,2,3571,1999,1,JUDGE_DISAGREEMENT,q_0c7e44a5|p_q_0c7e44a5_0,VALID_AT_T,SUPERSEDED_AT_T,VALID_AT_T,JUDGE_DISAGREEMENT,VALID_AT_T,third_judge_majority
q_0d1a4b7c@rerun_24h,q_0d1a4b7c,Who was the jockey riding the horse that recently won the Portland Handicap?,rerun_24h,rossa ryan,temporal_align_qa,2023,VOLATILE,FAST,CURRENT_SEEKING,CURRENT,1,626,626,1,INDETERMINATE_AT_T,p_q_0d1a4b7c_0,INDETERMINATE_AT_T,INDETERMINATE_AT_T,,INDETERMINATE_AT_T,INDETERMINATE_AT_T,pair_agreement
q_0da13098@rerun_24h,q_0da13098,What is the motto of the current Frankfurt Book Fair?,rerun_24h,honeycomb of words,temporal_align_qa,2023,VOLATILE,FAST,CURRENT_SEEKING,CURRENT,1,5000,2000,1,INDETERMINATE_AT_T,p_q_0da13098_2,INDETERMINATE_AT_T,SUPERSEDED_AT_T,VALID_AT_T,JUDGE_DISAGREEMENT,NO_MAJORITY,three_way_split
q_0df35e70@rerun_24h,q_0df35e70,Who trained the winning horse of the Celebration Mile?,rerun_24h,ralph beckett,temporal_align_qa,2023,VOLATILE,MEDIUM,RECURRING_UNMARKED,CURRENT,1,640,640,1,INDETERMINATE_AT_T,p_q_0df35e70_1,INDETERMINATE_AT_T,SUPERSEDED_AT_T,VALID_AT_T,JUDGE_DISAGREEMENT,NO_MAJORITY,three_way_split
q_0e39d599@rerun_24h,q_0e39d599,What role did Larry Joe Campbell play in his most recent television series appearance?,rerun_24h,park ranger,temporal_align_qa,2023,VOLATILE,MEDIUM,CURRENT_SEEKING,CURRENT,1,5000,2000,1,JUDGE_DISAGREEMENT,p_q_0e39d599_1,VALID_AT_T,SUPERSEDED_AT_T,VALID_AT_T,JUDGE_DISAGREEMENT,VALID_AT_T,third_judge_majority
q_0e3fb3ca@rerun_24h,q_0e3fb3ca,"What famous event for daredevils happens in Pamplona, Spain?",rerun_24h,running of the bulls,triviaqa,,NOT_TIME_KEYED,TIMELESS,RECURRING_UNMARKED,CURRENT,2,5054,2000,1,VALID_AT_T,p_q_0e3fb3ca_0|q_0e3fb3ca,VALID_AT_T,VALID_AT_T,,VALID_AT_T,VALID_AT_T,pair_agreement
q_0f14ed28@rerun_24h,q_0f14ed28,Fernando Alonso drives for which F1 team?,rerun_24h,scuderia ferrari,triviaqa,,NOT_TIME_KEYED,TIMELESS,RECURRING_UNMARKED,CURRENT,2,8264,2802,2,JUDGE_DISAGREEMENT,p_q_0f14ed28_1,VALID_AT_T,SUPERSEDED_AT_T,VALID_AT_T,JUDGE_DISAGREEMENT,VALID_AT_T,third_judge_majority
q_10399b97@rerun_24h,q_10399b97,Which team does the top scorer of the 2. Liga in Slovakia play for?,rerun_24h,tatran prešov,temporal_align_qa,2023,VOLATILE,MEDIUM,RECURRING_UNMARKED,CURRENT,1,2158,2000,1,JUDGE_DISAGREEMENT,p_q_10399b97_0,SUPERSEDED_AT_T,INDETERMINATE_AT_T,INDETERMINATE_AT_T,JUDGE_DISAGREEMENT,INDETERMINATE_AT_T,third_judge_majority
q_10c25152@rerun_24h,q_10c25152,Who was appointed the first woman cabinet minister in the UK?,rerun_24h,margaret bondfield,triviaqa,,NOT_TIME_KEYED,TIMELESS,HISTORICAL,AS_STATED,1,5000,2000,1,VALID_AT_T,p_q_10c25152_1|q_10c25152,VALID_AT_T,VALID_AT_T,,VALID_AT_T,VALID_AT_T,pair_agreement
q_10fbddc5@rerun_24h,q_10fbddc5,Which artists won the Grammy Award for Best Large Jazz Ensemble Album most recently?,rerun_24h,"steven feifke, bijon watson & the generation gap jazz orchestra",temporal_align_qa,2023,VOLATILE,FAST,CURRENT_SEEKING,CURRENT,1,5000,1999,1,SUPERSEDED_AT_T,p_q_10fbddc5_2,VALID_AT_T,SUPERSEDED_AT_T,VALID_AT_T,JUDGE_DISAGREEMENT,VALID_AT_T,third_judge_majority
q_113fc559@rerun_24h,q_113fc559,Who is the most recent winner of the Beacon Award for the Fremantle Football Club?,rerun_24h,jye amiss,temporal_align_qa,2023,VOLATILE,FAST,CURRENT_SEEKING,CURRENT,2,3399,2618,2,JUDGE_DISAGREEMENT,p_q_113fc559_1,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SUPERSEDED_AT_T,pair_agreement
q_12d05949@rerun_24h,q_12d05949,Which jockey rode the winning horse in the latest Superlative Stakes?,rerun_24h,ryan moore,temporal_align_qa,2023,VOLATILE,MEDIUM,CURRENT_SEEKING,CURRENT,2,945,945,2,JUDGE_DISAGREEMENT,p_q_12d05949_0,SUPERSEDED_AT_T,INDETERMINATE_AT_T,INDETERMINATE_AT_T,JUDGE_DISAGREEMENT,INDETERMINATE_AT_T,third_judge_majority
q_134739ad@rerun_24h,q_134739ad,Who were the drivers of the winning four-wheeler team in the most recent Baja 1000?,rerun_24h,bryce menzies andy mcmillin tavo vildósola,temporal_align_qa,2023,VOLATILE,FAST,CURRENT_SEEKING,CURRENT,2,5605,2605,2,SUPERSEDED_AT_T,p_q_134739ad_2|p_q_134739ad_3,VALID_AT_T,SUPERSEDED_AT_T,VALID_AT_T,JUDGE_DISAGREEMENT,VALID_AT_T,third_judge_majority
q_134c8d29@rerun_24h,q_134c8d29,Who is serving as the chair of the Education Commission of the States?,rerun_24h,asa hutchinson,temporal_align_qa,2023,VOLATILE,MEDIUM,RECURRING_UNMARKED,CURRENT,2,7654,2802,2,JUDGE_DISAGREEMENT,p_q_134c8d29_3,SUPERSEDED_AT_T,INDETERMINATE_AT_T,VALID_AT_T,JUDGE_DISAGREEMENT,NO_MAJORITY,three_way_split
q_1387f241@rerun_24h,q_1387f241,What is the hometown of the reigning Miss Iowa Teen USA?,rerun_24h,ankeny,temporal_align_qa,2023,VOLATILE,FAST,RECURRING_UNMARKED,CURRENT,2,686,606,1,JUDGE_DISAGREEMENT,p_q_1387f241_3,INDETERMINATE_AT_T,SUPERSEDED_AT_T,SUPERSEDED_AT_T,JUDGE_DISAGREEMENT,SUPERSEDED_AT_T,third_judge_majority
q_13a1eaa3@rerun_24h,q_13a1eaa3,Who is the current head coach of the Denver Nuggets?,rerun_24h,michael malone,temporal_align_qa,2023,VOLATILE,SLOW,CURRENT_SEEKING,CURRENT,1,631,631,1,SUPERSEDED_AT_T,q_13a1eaa3,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SUPERSEDED_AT_T,pair_agreement
q_13b3027b@rerun_24h,q_13b3027b,What is the most recent achievement of the Club La Matica basketball team?,rerun_24h,potros de la matica,temporal_align_qa,2023,VOLATILE,SLOW,CURRENT_SEEKING,CURRENT,2,1631,1631,2,INDETERMINATE_AT_T,p_q_13b3027b_2,SUPERSEDED_AT_T,INDETERMINATE_AT_T,INDETERMINATE_AT_T,JUDGE_DISAGREEMENT,INDETERMINATE_AT_T,third_judge_majority
q_13dd3bf9@rerun_24h,q_13dd3bf9,Who is the current British champion in triple jump for men?,rerun_24h,efe uwaifo,temporal_align_qa,2023,VOLATILE,SLOW,CURRENT_SEEKING,CURRENT,1,613,613,1,JUDGE_DISAGREEMENT,p_q_13dd3bf9_1,INDETERMINATE_AT_T,SUPERSEDED_AT_T,SUPERSEDED_AT_T,JUDGE_DISAGREEMENT,SUPERSEDED_AT_T,third_judge_majority
q_145203c8@rerun_24h,q_145203c8,Who was the jockey that rode the winning horse in the most recent Preis von Europa?,rerun_24h,rene piechulek,temporal_align_qa,2023,VOLATILE,MEDIUM,CURRENT_SEEKING,CURRENT,1,605,605,1,INDETERMINATE_AT_T,p_q_145203c8_3,INDETERMINATE_AT_T,SUPERSEDED_AT_T,INDETERMINATE_AT_T,JUDGE_DISAGREEMENT,INDETERMINATE_AT_T,third_judge_majority
q_14607683@rerun_24h,q_14607683,Which trainer prepared the winning horse of the latest Norfolk Stakes (Great Britain)?,rerun_24h,adrian murray,temporal_align_qa,2023,VOLATILE,MEDIUM,CURRENT_SEEKING,CURRENT,1,633,633,1,JUDGE_DISAGREEMENT,p_q_14607683_0|p_q_14607683_1,INDETERMINATE_AT_T,SUPERSEDED_AT_T,SUPERSEDED_AT_T,JUDGE_DISAGREEMENT,SUPERSEDED_AT_T,third_judge_majority
q_1480c99d@rerun_24h,q_1480c99d,What school recently claimed the title in the Iowa High School Athletic Association Baseball Summer 3A State Tournament?,rerun_24h,western dubuque,temporal_align_qa,2023,VOLATILE,MEDIUM,CURRENT_SEEKING,CURRENT,1,2746,2000,1,SUPERSEDED_AT_T,p_q_1480c99d_0,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SUPERSEDED_AT_T,pair_agreement
q_14993a2f@rerun_24h,q_14993a2f,Who is the current Formula One World Drivers' Champion?,rerun_24h,max verstappen,temporal_align_qa,2023,VOLATILE,SLOW,CURRENT_SEEKING,CURRENT,2,5070,2000,1,SUPERSEDED_AT_T,q_14993a2f,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SUPERSEDED_AT_T,pair_agreement
q_15c4dc42@rerun_24h,q_15c4dc42,Who is the winner of the most recent Sierre-Zinal race?,rerun_24h,philemon ombogo kiriago,temporal_align_qa,2023,VOLATILE,MEDIUM,CURRENT_SEEKING,CURRENT,1,601,601,1,INDETERMINATE_AT_T,p_q_15c4dc42_3,INDETERMINATE_AT_T,SUPERSEDED_AT_T,INDETERMINATE_AT_T,JUDGE_DISAGREEMENT,INDETERMINATE_AT_T,third_judge_majority
q_15c687de@rerun_24h,q_15c687de,Who was the victorious driver in the Daytona 300 race?,rerun_24h,austin hill,temporal_align_qa,2023,VOLATILE,MEDIUM,HISTORICAL,AS_STATED,2,4760,2639,2,JUDGE_DISAGREEMENT,p_q_15c687de_0,VALID_AT_T,CONTRADICTED_AS_STATED,VALID_AT_T,JUDGE_DISAGREEMENT,VALID_AT_T,third_judge_majority
q_16bfd035@rerun_24h,q_16bfd035,Where was the final of the latest Derry Senior Football Championship held?,rerun_24h,celtic park,temporal_align_qa,2023,VOLATILE,SLOW,CURRENT_SEEKING,CURRENT,1,4918,2000,1,JUDGE_DISAGREEMENT,q_16bfd035,SUPERSEDED_AT_T,INDETERMINATE_AT_T,INDETERMINATE_AT_T,JUDGE_DISAGREEMENT,INDETERMINATE_AT_T,third_judge_majority
q_16e427cd@rerun_24h,q_16e427cd,In which capital city is the Tivoli amusement park?,rerun_24h,copenhagen,triviaqa,,NOT_TIME_KEYED,TIMELESS,RECURRING_UNMARKED,CURRENT,2,10001,2802,2,VALID_AT_T,p_q_16e427cd_0|p_q_16e427cd_2,VALID_AT_T,VALID_AT_T,,VALID_AT_T,VALID_AT_T,pair_agreement
q_16f7110e@rerun_24h,q_16f7110e,Which football club was the runner-up in the last KNVB Women's Cup final?,rerun_24h,psv,temporal_align_qa,2023,VOLATILE,MEDIUM,HISTORICAL,AS_STATED,1,5000,2000,1,INDETERMINATE_AT_T,p_q_16f7110e_1,VALID_AT_T,CONTRADICTED_AS_STATED,VALID_AT_T,JUDGE_DISAGREEMENT,VALID_AT_T,third_judge_majority
q_1719b6dd@rerun_24h,q_1719b6dd,Who is the director of the film that won the most recent Sonje Award at the Busan International Film Festival?,rerun_24h,"jeon do-hee, kim so-hee",temporal_align_qa,2023,VOLATILE,FAST,CURRENT_SEEKING,CURRENT,1,4999,2000,1,JUDGE_DISAGREEMENT,p_q_1719b6dd_2,SUPERSEDED_AT_T,INDETERMINATE_AT_T,SUPERSEDED_AT_T,JUDGE_DISAGREEMENT,SUPERSEDED_AT_T,third_judge_majority
q_177880b1@rerun_24h,q_177880b1,Who is the head coach of the Washington Mystics?,rerun_24h,eric thibault,temporal_align_qa,2023,VOLATILE,MEDIUM,RECURRING_UNMARKED,CURRENT,1,5000,2000,1,SUPERSEDED_AT_T,p_q_177880b1_1,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SUPERSEDED_AT_T,pair_agreement
q_17f33f25@rerun_24h,q_17f33f25,Which language has the third largest population by total number of speakers?,rerun_24h,hindi,freshqa,before 2022,SINGLE_YEAR,SLOW,RECURRING_UNMARKED,CURRENT,1,5000,2000,1,SUPERSEDED_AT_T,p_q_17f33f25_1,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SUPERSEDED_AT_T,pair_agreement
