unit_id,base_query_id,base_query,snapshot_round,gold,gold_source,gold_year,volatility,freshness_classes,n_requests,request_ids,n_urls,n_pages_kept,evidence_chars,status_llama8b,status_qwen7b,judges_agree,final_status,reason
q_1fe5242d@rerun_24h,q_1fe5242d,Who was the jockey that rode the winning horse in the latest Hong Kong Sprint?,rerun_24h,zac purton,temporal_align_qa,2023,VOLATILE,MEDIUM,1,p_q_1fe5242d_3,2,2,2624,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_2053c0d3@rerun_24h,q_2053c0d3,Who is the current Professional Referee of the Year in Belgian professional football?,rerun_24h,jonathan lardot,temporal_align_qa,2023,VOLATILE,SLOW,1,p_q_2053c0d3_3,1,1,2000,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_21593fd1@rerun_24h,q_21593fd1,"""The album """"Good Girl Gone Bad"""" was the number 1 selling album in the UK in 2009 with sales of 1.5 million. Who was the singer?""",rerun_24h,rihanna,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_21593fd1_3,1,1,1999,SUPERSEDED_AT_T,INDETERMINATE_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_22adabe9@rerun_24h,q_22adabe9,What was the model name of the Williams Grand Prix Engineering car that had USA Logan Sargeant and THA Alexander Albon as drivers?,rerun_24h,fw45,temporal_align_qa,2023,VOLATILE,FAST,1,p_q_22adabe9_1,1,1,2000,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_25a74024@rerun_24h,q_25a74024,Who is one of the current hosts of Vision Australia's Carols by Candlelight?,rerun_24h,sarah abo and david campbell,temporal_align_qa,2023,VOLATILE,SLOW,1,p_q_25a74024_0,1,1,1999,SUPERSEDED_AT_T,SUPERSEDED_AT_T,1,SUPERSEDED_AT_T,dual_judge_agreement
q_27293a94@rerun_24h,q_27293a94,Who is the current President of Nigeria?,rerun_24h,bola tinubu,temporal_align_qa,2023,VOLATILE,SLOW,1,p_q_27293a94_1,1,1,1805,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_2761fdfe@rerun_24h,q_2761fdfe,"The story of Joseph featuring the coat of many colours, appears in which book of the Bible?",rerun_24h,genesis,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_2761fdfe_1,2,1,2000,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_2d02fb45@rerun_24h,q_2d02fb45,The Tyrol is a region in which mountain range?,rerun_24h,alps,triviaqa,,NOT_TIME_KEYED,TIMELESS,3,p_q_2d02fb45_3|p_q_2d02fb45_2|p_q_2d02fb45_1,1,1,2000,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_2db8b371@rerun_24h,q_2db8b371,Which year saw the dissolution of the Soviet Union?,rerun_24h,1991,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_2db8b371_3,1,1,2000,VALID_AT_T,INDETERMINATE_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_3055ab76@rerun_24h,q_3055ab76,Which team won the Syrian Cup in the latest final?,rerun_24h,tishreen,temporal_align_qa,2023,VOLATILE,SLOW,2,p_q_3055ab76_1|p_q_3055ab76_0,1,1,656,INDETERMINATE_AT_T,INDETERMINATE_AT_T,1,INDETERMINATE_AT_T,dual_judge_agreement
q_3122ceda@rerun_24h,q_3122ceda,"According to the Bible, what are three theological virtues?",rerun_24h,"faith, hope and charity",triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_3122ceda_0,1,1,1999,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_35e41392@rerun_24h,q_35e41392,"Which constellation, that lies between Cancer and Virgo, contains the stars called Regulus, Denebola, Regulus, Wolf 359, Gliese 436, and Algieba?",rerun_24h,leo,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_35e41392_1,1,1,2000,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_36e2eae5@rerun_24h,q_36e2eae5,Who is currently serving as the U.S. Representative for Maine's 2nd congressional district?,rerun_24h,jared golden,temporal_align_qa,2023,VOLATILE,SLOW,2,p_q_36e2eae5_1|p_q_36e2eae5_2,1,1,2000,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_389476c5@rerun_24h,q_389476c5,How often are the Oberammergau Passion Plays held?,rerun_24h,every ten years,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_389476c5_1,1,1,1119,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_3a68f125@rerun_24h,q_3a68f125,Which official knocks three times on the doors to the chamber of the House of Commons at the state opening of a British parliament?,rerun_24h,black rod,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_3a68f125_0,2,2,969,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_3b2665fb@rerun_24h,q_3b2665fb,Who wrote the musical We Will Rock You in collaboration with Queen members Brian May and Roger Taylor?,rerun_24h,ben elton,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_3b2665fb_0,1,1,1933,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_3cae62d9@rerun_24h,q_3cae62d9,Who is the current representative for Calgary-Shaw in the Legislative Assembly?,rerun_24h,rebecca schulz,temporal_align_qa,2023,VOLATILE,SLOW,1,p_q_3cae62d9_1,2,1,615,INDETERMINATE_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_3e5fda75@rerun_24h,q_3e5fda75,What is the capital of Cambodia?,rerun_24h,phnom penh,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_3e5fda75_0,1,1,616,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_41540d4e@rerun_24h,q_41540d4e,What unusual means of transport connects North Greenwich to the Royal Docks?,rerun_24h,cable car,triviaqa,,NOT_TIME_KEYED,TIMELESS,2,p_q_41540d4e_2|p_q_41540d4e_1,1,1,2000,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_4209c718@rerun_24h,q_4209c718,Who is serving as the U.S. House representative for South Carolina's 4th congressional district?,rerun_24h,william timmons,temporal_align_qa,2023,VOLATILE,SLOW,1,p_q_4209c718_2,2,1,820,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_44d9dff7@rerun_24h,q_44d9dff7,At which battle of 1403 did Henry 'Hotspur' Percy die?,rerun_24h,shrewsbury,triviaqa,,NOT_TIME_KEYED,TIMELESS,2,p_q_44d9dff7_0|p_q_44d9dff7_3,2,1,625,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_470d2d0f@rerun_24h,q_470d2d0f,Who is the most recent recipient of the Edgar Martínez Award?,rerun_24h,shohei ohtani,temporal_align_qa,2023,VOLATILE,MEDIUM,1,p_q_470d2d0f_2,1,1,664,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_49493ec6@rerun_24h,q_49493ec6,What is the SI unit of resistance?,rerun_24h,ohm,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_49493ec6_0,2,2,2802,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_4deb87ba@rerun_24h,q_4deb87ba,Which English town is twinned with Disney World?,rerun_24h,swindon,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_4deb87ba_3,1,1,1630,SUPERSEDED_AT_T,VALID_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_4e2929ec@rerun_24h,q_4e2929ec,How many humans have landed on Mars?,rerun_24h,no humans have been to mars yet.,freshqa,before 2022,SINGLE_YEAR,SLOW,1,p_q_4e2929ec_0,1,1,335,SUPERSEDED_AT_T,SUPERSEDED_AT_T,1,SUPERSEDED_AT_T,dual_judge_agreement
q_5026a65e@rerun_12h,q_5026a65e,"Appointed in 2012, who is the President of the Fifth French Republic?",rerun_12h,francois hollande,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_5026a65e_2,1,1,797,SUPERSEDED_AT_T,SUPERSEDED_AT_T,1,SUPERSEDED_AT_T,dual_judge_agreement
q_50abcf1d@rerun_24h,q_50abcf1d,"Britain's first stretch of motorway, opened in December 1958, bypassed which town (now officially a city) ?",rerun_24h,preston,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_50abcf1d_0,1,1,614,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_534fcd60@rerun_24h,q_534fcd60,How many novels has Stephen King published?,rerun_24h,66 novels,freshqa,2023,SINGLE_YEAR,FAST,1,p_q_534fcd60_3,2,1,2000,VALID_AT_T,INDETERMINATE_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_53b66262@rerun_24h,q_53b66262,Where is Tesla's headquarters?,rerun_24h,"austin, tx",freshqa,before 2022,SINGLE_YEAR,SLOW,1,p_q_53b66262_0,1,1,2000,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_56e02d43@rerun_24h,q_56e02d43,Along what tectonic plate boundary were yeti crabs first discovered?,rerun_24h,pacific-antarctic ridge,freshqa,before 2022,SINGLE_YEAR,TIMELESS,1,p_q_56e02d43_1,2,1,2000,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_579c926b@rerun_24h,q_579c926b,Which American invented the computer mouse whilst working at the Stamford Research Institute in 1964?,rerun_24h,douglas englebart,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_579c926b_1,1,1,2000,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_594b8e7a@rerun_24h,q_594b8e7a,What was the venue of the most recent game between the Brisbane Broncos and the North Queensland Cowboys?,rerun_24h,queensland country bank stadium,temporal_align_qa,2023,VOLATILE,SLOW,1,p_q_594b8e7a_3,2,2,2336,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_5abb871e@rerun_24h,q_5abb871e,Which team does the latest Performance Index Rating leader of the Greek Basket League play for?,rerun_24h,olympiacos,temporal_align_qa,2023,VOLATILE,SLOW,1,p_q_5abb871e_2,1,1,2000,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_5cb9d6ad@rerun_24h,q_5cb9d6ad,"""Who played the title role in Woody Allen's film """"Annie Hall""""?""",rerun_24h,diane keaton,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_5cb9d6ad_2,2,2,2802,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_5e06e717@rerun_24h,q_5e06e717,Who is the most recent champion of the Boston Marathon Men's wheelchair division?,rerun_24h,marcel hug,temporal_align_qa,2023,VOLATILE,SLOW,1,p_q_5e06e717_3,2,1,2000,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_62a24122@rerun_24h,q_62a24122,Who won the 2020 Formula 1 world driver's championship?,rerun_24h,lewis hamilton,freshqa,before 2022,SINGLE_YEAR,TIMELESS,1,p_q_62a24122_1,3,2,2802,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_645572d1@rerun_24h,q_645572d1,Which team was the runner-up in the Korvpalli Meistriliiga championship?,rerun_24h,tartu ülikool maks & moorits,temporal_align_qa,2023,VOLATILE,MEDIUM,1,p_q_645572d1_1,1,1,2000,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_64800213@rerun_24h,q_64800213,Which woman was the singer with Jefferson Airplane?,rerun_24h,grace slick,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_64800213_3,1,1,538,VALID_AT_T,INDETERMINATE_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_6f15c777@rerun_24h,q_6f15c777,In which country is Mdina Glass made?,rerun_24h,malta,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_6f15c777_2,2,2,2802,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_79d94239@rerun_24h,q_79d94239,Where in the body would you find rod cells and cone cells,rerun_24h,in the eye,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_79d94239_2,1,1,2000,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_80bc432e@rerun_24h,q_80bc432e,"The ‘Delta Works’ is a series of construction projects in which European country, to protect large areas of land from the sea?",rerun_24h,netherlands,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_80bc432e_2,1,1,605,INDETERMINATE_AT_T,VALID_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_86cdf888@rerun_24h,q_86cdf888,What is the SI unit of temperature?,rerun_24h,the kelvin,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_86cdf888_2,1,1,1999,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_87ca114c@rerun_24h,q_87ca114c,For which daily newspaper does Frederick Forsyth write?,rerun_24h,daily express,triviaqa,,NOT_TIME_KEYED,TIMELESS,2,p_q_87ca114c_0|p_q_87ca114c_2,2,1,713,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_9713cc4c@rerun_24h,q_9713cc4c,What club does Lewandowski play for?,rerun_24h,barcelona,freshqa,2022,SINGLE_YEAR,SLOW,1,p_q_9713cc4c_3,1,1,1050,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_97b198d0@rerun_24h,q_97b198d0,In which European Cup competition is Gloucester Rugby participating?,rerun_24h,champions cup,temporal_align_qa,2023,VOLATILE,SLOW,1,p_q_97b198d0_3,2,1,662,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_98d7f7da@rerun_24h,q_98d7f7da,The 'degree' symbol ° indicates what variation of a musical chord?,rerun_24h,diminished,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_98d7f7da_2,2,2,2604,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_9b57150e@rerun_24h,q_9b57150e,Where did the Seattle Mariners play their most recent Opening Day game?,rerun_24h,t-mobile park,temporal_align_qa,2023,VOLATILE,MEDIUM,1,p_q_9b57150e_1,2,2,2802,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_9d2666a3@rerun_24h,q_9d2666a3,On which river does Derby stand?,rerun_24h,derwent,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_9d2666a3_1,1,1,2000,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_a3225b4a@rerun_24h,q_a3225b4a,Who directed the latest Icelandic film submitted for the Academy Award for Best International Feature Film?,rerun_24h,hlynur pálmason,temporal_align_qa,2023,VOLATILE,MEDIUM,1,p_q_a3225b4a_0,2,1,2000,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_a4aacc0f@rerun_24h,q_a4aacc0f,What colour is copper sulphate?,rerun_24h,blue,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_a4aacc0f_1,1,1,617,INDETERMINATE_AT_T,VALID_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_a5b50e32@rerun_24h,q_a5b50e32,Do the Toronto Raptors have a winning record in the latest NBA season?,rerun_24h,no,freshqa,2023,SINGLE_YEAR,FAST,1,p_q_a5b50e32_0,2,1,2000,SUPERSEDED_AT_T,INDETERMINATE_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_ab431fd9@rerun_24h,q_ab431fd9,Which institution is represented by the NPDA National Champions team?,rerun_24h,parliamentary debate at berkeley,temporal_align_qa,2023,VOLATILE,FAST,1,p_q_ab431fd9_0,1,1,2000,VALID_AT_T,INDETERMINATE_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_ac141dc0@rerun_24h,q_ac141dc0,"Which sport features line-outs, scrums and conversions?",rerun_24h,rugby,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_ac141dc0_1,2,1,2000,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_b37309f3@rerun_24h,q_b37309f3,Which horse won the Kameko Futurity Trophy?,rerun_24h,ancient wisdom,temporal_align_qa,2023,VOLATILE,FAST,1,p_q_b37309f3_2,1,1,619,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_b8ddab89@rerun_24h,q_b8ddab89,What was the more common name for the German World War II dive bomber the Junkers Ju 87?,rerun_24h,stuka,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_b8ddab89_3,2,2,2663,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_b9a64a4f@rerun_24h,q_b9a64a4f,What is the theme of Sydney New Year's Eve celebration?,rerun_24h,"one night, many ways to celebrate",temporal_align_qa,2023,VOLATILE,FAST,1,p_q_b9a64a4f_1,2,1,201,INDETERMINATE_AT_T,INDETERMINATE_AT_T,1,INDETERMINATE_AT_T,dual_judge_agreement
q_b9a75c82@rerun_24h,q_b9a75c82,Which hockey team won the Men's England Hockey League?,rerun_24h,old georgians,temporal_align_qa,2023,VOLATILE,MEDIUM,1,p_q_b9a75c82_1,2,2,2802,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_bcbdf06e@rerun_24h,q_bcbdf06e,"On which English motorway can you find services called Baldock, Wetherby and Washington?",rerun_24h,m1,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_bcbdf06e_1,1,1,2000,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_bd3daa9d@rerun_24h,q_bd3daa9d,Which organization's Mars probe is currently en route to its destination?,rerun_24h,nasa,temporal_align_qa,2023,VOLATILE,SLOW,1,p_q_bd3daa9d_0,2,2,2516,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_bd9e6870@rerun_24h,q_bd9e6870,"Which architect, President of the Royal Academy from 2004 to 2011, is responsible for the National Space Centre in Leicester and the Eden Project in Cornwall?",rerun_24h,sir nicholas grimshaw,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_bd9e6870_0,2,2,2802,SUPERSEDED_AT_T,SUPERSEDED_AT_T,1,SUPERSEDED_AT_T,dual_judge_agreement
q_bf2150c7@rerun_24h,q_bf2150c7,"Wroxeter, the site of the Roman city of Viroconium Cornoviorum, is in which English county?",rerun_24h,shropshire,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_bf2150c7_3,1,1,624,INDETERMINATE_AT_T,INDETERMINATE_AT_T,1,INDETERMINATE_AT_T,dual_judge_agreement
q_bff7ff01@rerun_24h,q_bff7ff01,In which country would you find budgerigars in their natural habitat?,rerun_24h,australia,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_bff7ff01_1,1,1,1636,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_c1695ecb@rerun_24h,q_c1695ecb,Who were the Celtic-speaking peoples living in France and Belgium during Roman times?,rerun_24h,gauls,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_c1695ecb_0,1,1,631,INDETERMINATE_AT_T,INDETERMINATE_AT_T,1,INDETERMINATE_AT_T,dual_judge_agreement
q_c6b40080@rerun_24h,q_c6b40080,Which bird of the pigeon family was found in huge numbers in North America until the 19th century but then went into decline due to hunting and became extinct in 1914?,rerun_24h,passenger pigeon,triviaqa,,NOT_TIME_KEYED,TIMELESS,2,q_c6b40080|p_q_c6b40080_1,1,1,2000,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_c83007d1@rerun_24h,q_c83007d1,Which 13th century English philosopher and scientist was known as 'Doctor Mirabilis'?,rerun_24h,roger bacon,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_c83007d1_2,1,1,1872,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_cb9cc202@rerun_24h,q_cb9cc202,In what year was Alaska sold to the US?,rerun_24h,1867,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_cb9cc202_0,1,1,2000,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_d0a5e0b6@rerun_24h,q_d0a5e0b6,Who is the current provincial representative for Keewatinook?,rerun_24h,ian bushie,temporal_align_qa,2023,VOLATILE,SLOW,1,p_q_d0a5e0b6_2,2,2,2802,SUPERSEDED_AT_T,SUPERSEDED_AT_T,1,SUPERSEDED_AT_T,dual_judge_agreement
q_d3e5ec72@rerun_24h,q_d3e5ec72,In which city was the most recent Texas State Open played?,rerun_24h,tyler,temporal_align_qa,2023,VOLATILE,SLOW,1,p_q_d3e5ec72_3,2,2,1786,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_d6104cc3@rerun_24h,q_d6104cc3,Samantha Murray won GB's final medal of the 2012 Olympics in which sport?,rerun_24h,(women's) modern pentathlon,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_d6104cc3_1,2,1,2000,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_da1c81d6@rerun_24h,q_da1c81d6,"Who was Archbishop of Canterbury during the reigns of Henry VIII and Edward VI, was then imprisoned for over two years and burnt at the stake for heresy?",rerun_24h,thomas cranmer,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_da1c81d6_0,1,1,2000,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_ddf45443@rerun_24h,q_ddf45443,Which North Sea port lies at the mouth of the Riyer Esk?,rerun_24h,whitby,triviaqa,,NOT_TIME_KEYED,TIMELESS,2,p_q_ddf45443_2|p_q_ddf45443_3,2,2,2802,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_e5616ef7@rerun_24h,q_e5616ef7,Which club is currently associated with one of the AFL players from South Australia?,rerun_24h,west coast,temporal_align_qa,2023,VOLATILE,SLOW,1,p_q_e5616ef7_3,1,1,607,INDETERMINATE_AT_T,INDETERMINATE_AT_T,1,INDETERMINATE_AT_T,dual_judge_agreement
q_e619abe5@rerun_24h,q_e619abe5,Which famous soccer player of Brazil passed away recently?,rerun_24h,pelé,freshqa,2022,SINGLE_YEAR,SLOW,1,p_q_e619abe5_1,4,2,1245,SUPERSEDED_AT_T,SUPERSEDED_AT_T,1,SUPERSEDED_AT_T,dual_judge_agreement
q_e9fd2fb4@rerun_24h,q_e9fd2fb4,"""""""The Blockheads"""" released a new album in 2009 after nine years' silence. Who used to be their frontman?""",rerun_24h,ian drury,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_e9fd2fb4_0,2,1,2000,INDETERMINATE_AT_T,INDETERMINATE_AT_T,1,INDETERMINATE_AT_T,dual_judge_agreement
q_ec7fa565@rerun_24h,q_ec7fa565,Logophobia is the abnormal fear of what?,rerun_24h,words,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_ec7fa565_2,2,1,609,INDETERMINATE_AT_T,VALID_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_f618e806@rerun_24h,q_f618e806,In which US city is the National Air and Space Museum?,rerun_24h,washington,triviaqa,,NOT_TIME_KEYED,TIMELESS,2,p_q_f618e806_2|p_q_f618e806_0,1,1,1270,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_f63307b3@rerun_24h,q_f63307b3,Who invented the ferris wheel?,rerun_24h,george washington ferris,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_f63307b3_3,1,1,2000,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
