query_id,audits,base_query_id,base_query,paraphrase,gold_source,gold_year,freshness_class,label_llama8b,label_qwen7b,judges_agree,reused_existing,existing_verdict,final_label
p_q_84993503_3,mixed_age_400,q_84993503,Who was the third crew member to join the most recent spaceflight involving Russian cosmonauts to the International Space Station?,"Among the three Russian cosmonauts who joined the International Space Station, which one will remain off board?",temporal_align_qa,2023,FAST,DIFFERENT,DIFFERENT,1,0,,DIFFERENT
p_q_2b37471e_0,mixed_age_400|heldout_400,q_2b37471e,What was the outcome of Judson High School's final game?,Judson High School Football: What was the outcome of Thursday at City College?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_4d8a4de4_1,mixed_age_400,q_4d8a4de4,Which artist(s) performed on the most recent winner of the Grammy Award for Best Historical Album?,Who are all the cast members of the CD that won a Grammy Award for Best Historical Album at this point in time?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_056f7935_3,mixed_age_400,q_056f7935,Which city is the home of the most recent champion of the Campeonato Paulista Série A3?,Which of the seven cities that made it to the finals of Juventus Championship was still undefeated in the championship round of 16.1 last year?,temporal_align_qa,2023,FAST,DIFFERENT,DIFFERENT,1,0,,DIFFERENT
p_q_8b83e11f_0,mixed_age_400|heldout_400,q_8b83e11f,Who is the chair of the latest OOPSLA conference?,Have you heard any update on the OOPSLA committee's meeting?,temporal_align_qa,2023,FAST,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_28911a13_1,mixed_age_400,q_28911a13,Who is the current Australian of the Year?,Which Australian is achieving to win the title of President this year?,temporal_align_qa,2023,FAST,DIFFERENT,DIFFERENT,1,0,,DIFFERENT
p_q_665a6704_2,mixed_age_400,q_665a6704,Who is the most recent champion of the Chubb Classic?,Who was ousted from contention at the Chubb Classic?,temporal_align_qa,2023,FAST,DIFFERENT,DIFFERENT,1,0,,DIFFERENT
p_q_0da13098_2,mixed_age_400,q_0da13098,What is the motto of the current Frankfurt Book Fair?,Could you inform me of the message that will be shared at Frankfurt Book Fair?,temporal_align_qa,2023,FAST,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_a06c234c_3,mixed_age_400,q_a06c234c,Who were the songwriters of the winning song in the latest Melodifestivalen?,What songs ended up being the most outstanding during this year's Melodifestivalen?,temporal_align_qa,2023,FAST,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_60502f3b_1,mixed_age_400,q_60502f3b,Which team won the BBC Sports Personality Team of the Year Award?,Who was recognized as the 2017 BBC Sports Personality Team of the Year Award Driver?,temporal_align_qa,2023,FAST,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_297334f5_3,mixed_age_400|heldout_400,q_297334f5,Who was the replay official in the most recent Super Bowl?,Which Super Bowl video game replay professional was the main figure?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_c76a7d5e_3,mixed_age_400,q_c76a7d5e,Which horse won the Royal Hunt Cup most recently?,Who topped the previous Royal Hunt Cup Standings with their performance?,temporal_align_qa,2023,FAST,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_b9a64a4f_1,mixed_age_400,q_b9a64a4f,What is the theme of Sydney New Year's Eve celebration?,What does the symbolism behind Sydney's New Year'event command be?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_b96cebd8_2,mixed_age_400,q_b96cebd8,In which season did the most recent USBWA National Freshman of the Year play?,Which team Last supported with USBWA National Freshman of the Year (2017) most recently?,temporal_align_qa,2023,FAST,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_b5bab848_2,mixed_age_400,q_b5bab848,What is the title of the work that won the most recent Latin Grammy Award for Best Salsa Album?,Which piece of music received the best Salsa award at this years dernière LAMS?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_6a6b8494_3,mixed_age_400,q_6a6b8494,Who posted the most-liked tweet last year?,"In the last one we published, which individual put up the most follower tweets?",freshqa,2023,FAST,DIFFERENT,DIFFERENT,1,0,,DIFFERENT
p_q_77b08615_0,mixed_age_400,q_77b08615,Who was the owner of the horse that won the latest Black-Eyed Susan Stakes?,"In the Black-Eyed Susan Stakes, who was the winner?",temporal_align_qa,2023,FAST,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_531f875a_2,mixed_age_400,q_531f875a,What is the name of the horse that won the most recent Avondale Cup at Avondale Racecourse?,Which horse won the latest Avondale Cup at Avogh Hall on 22nd February 2006?,temporal_align_qa,2023,FAST,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_1dc7b96e_3,mixed_age_400,q_1dc7b96e,Who is the most recent winner of the Turf Classic Stakes?,Do you happen to know who will win the Turf Classic Stakes just this week?,temporal_align_qa,2023,FAST,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_69646c02_0,mixed_age_400,q_69646c02,How old is the most-followed user on TikTok?,Could you determine the age of the TikTok user with a stream’s largest following?,freshqa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_747bbca1_3,mixed_age_400,q_747bbca1,What country does the Wimbledon women's champion play for?,What is the name of the tennis player who becomes Wimbledon women's champion?,freshqa,2023,FAST,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_6dce83d8_2,mixed_age_400,q_6dce83d8,How many field goals did the Women's National Basketball Association season scoring leader make?,What is the maximum number of field goals scored by one team in a Women's National Basketball Association season?,temporal_align_qa,2023,FAST,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_2d3da894_1,mixed_age_400,q_2d3da894,Who held the cleanup spot for the Miami Marlins in their latest opening day lineup?,What team actually took back the clean slate on Opening Day @ Miami Marlins?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_32bb1cf2_0,mixed_age_400,q_32bb1cf2,What is the regular-season winning percentage of the St. Paul Saints?,How much percentage (RSS) of the Saints winning is this year?,temporal_align_qa,2023,FAST,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_5e68b428_2,mixed_age_400,q_5e68b428,From which city is the latest winner of the Bulwer-Lytton Fiction Contest?,Who ranked first in the Bulwer-Lytton Fiction Contest among city residents?,temporal_align_qa,2023,FAST,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_e5cbddda_1,mixed_age_400,q_e5cbddda,Which horse won the Risen Star Stakes most recently?,Which animal performs the exceptionally good duty of winning the Risen Star Stakes at this point?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_2ca95d4e_3,mixed_age_400,q_2ca95d4e,Who claimed the Points classification victory in the Vuelta a Burgos men's race?,Who was awarded the Points ranking on August 9th in Vuelta a Burgos men's racing?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_785fdb1b_0,mixed_age_400,q_785fdb1b,Which trainer prepared the winning horse in the last Cambridgeshire Handicap?,Which trainer served as the extra trainer in convincing story for Cambridgeshire Handicap last year?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_ffbdb73d_0,mixed_age_400,q_ffbdb73d,Who is the winner of the men's category in the Warsaw Marathon?,Who has been awarded the Warsaw Marathon star prize?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_75b15e04_3,mixed_age_400,q_75b15e04,Which artist won the APRA Music Awards (Australia) Song of the Year lately?,Who has been recognized as the newly-released APRA Music Award Song of the Year?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_1387f241_3,mixed_age_400,q_1387f241,What is the hometown of the reigning Miss Iowa Teen USA?,In what region is the younger Miss Iowa Teen USA from?,temporal_align_qa,2023,FAST,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_a5b50e32_0,mixed_age_400,q_a5b50e32,Do the Toronto Raptors have a winning record in the latest NBA season?,Do the Toronto Raptors continue to dominate in the NBA standings?,freshqa,2023,FAST,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_ab431fd9_0,mixed_age_400,q_ab431fd9,Which institution is represented by the NPDA National Champions team?,From which organization does the NPDA National Champions team hail?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_2efc3bf0_2,mixed_age_400,q_2efc3bf0,Who is the winner of the most recent NASCAR Xfinity Series at Homestead-Miami?,"In the latest NASCAR Xfinity Series competition at Homestead-Miami, which horse is crowned champion?",temporal_align_qa,2023,FAST,DIFFERENT,DIFFERENT,1,0,,DIFFERENT
p_q_28b0bd9f_3,mixed_age_400,q_28b0bd9f,Which film won the Grand Prize at the most recent Baeksang Arts Award?,What was the title scooped up in Best Film category at its latest Baeksang Arts Award?,temporal_align_qa,2023,FAST,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_b3cd7717_2,mixed_age_400,q_b3cd7717,Who is the champion of the latest Horizon Irish Open?,Who clinches the flag for victory in the recent Horizon Irish Open?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_04bb5dc1_2,mixed_age_400,q_04bb5dc1,Which horse won the Chesham Stakes most recently?,Which horse emerged as the winner of the Chesham Stakes?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_ebb15c73_3,mixed_age_400,q_ebb15c73,What geometry type has a WKB integer code that includes M dimensions?,In what geometry (of sizes) does the WKB integer decoder have M dimension?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_4e6d28cb_0,mixed_age_400,q_4e6d28cb,Who is one of the players currently leading as top scorer in the UEFA Europa League?,Who currently holds the top spot in scoring on multiple occasions in the UEFA Europa League table?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_295700b1_0,mixed_age_400,q_295700b1,Which horse won the most recent Vincent O'Brien National Stakes?,Who is pictured winning the latest course in this years Vincent O'Brien National Stakes?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_a720c2de_2,mixed_age_400,q_a720c2de,What were the latest Australian Swimming Championships a selection trial for?,What was selected as the selection try at this year's Australian Swimming Championship?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_19312ca9_3,mixed_age_400,q_19312ca9,What's the latest project Victor Webster has worked on?,What's Victor Webster up to these days?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_59076011_1,mixed_age_400,q_59076011,Who is the most recent recipient of the Doak Walker Award?,Which warrior was honoured with the Doak Walker Award last time?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_d4f726dc_3,mixed_age_400,q_d4f726dc,Which pair won the L'Open 35 de Saint-Malo doubles final most recently?,Which contender claimed victory in the most recent doubles match at L'Open 35 de Saint-Malo?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_5ac8d92d_3,mixed_age_400,q_5ac8d92d,When does this year's Passover start?,What is the commencement date for Passover this year?,freshqa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_697c0008_3,mixed_age_400,q_697c0008,Which pitcher gave up the most recent home run that landed in McCovey Cove?,Who had the most recent home run loss in over 35 plate appearances at McCovey Cove?,temporal_align_qa,2023,FAST,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_3c890437_3,mixed_age_400,q_3c890437,Who was the owner of the winning horse in the most recent Woodbine Oaks?,Who had the rightful owner of the horse that won the latest Woodbine Oaks?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_dfefb294_2,mixed_age_400,q_dfefb294,Which team's driver won the latest Macau Grand Prix?,Which individual claimed triumph in the latest Macau Grand Prix?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_c5946497_1,mixed_age_400,q_c5946497,"Who are the engineers that received the most recent Grammy Award for Best Engineered Album, Classical?","In the category of Best Engineered Album, which engineers were named as winner in the recent Grammy Award wins for classical music?",temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_5284772a_1,mixed_age_400,q_5284772a,Who is the most recent recipient of the Babe Ruth Award?,Who wins the Babe Ruth Award recently?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_0d1a4b7c_0,mixed_age_400,q_0d1a4b7c,Who was the jockey riding the horse that recently won the Portland Handicap?,"The horse riding the winner of the Portland Handicap, who was it?",temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_6a82c062_1,mixed_age_400,q_6a82c062,Who is the latest first-place winner of the Klein Competition?,Who is at the top of the Klein Competition this year?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_4241a3d3_1,mixed_age_400,q_4241a3d3,Who is the most recent recipient of the Norm Smith Medal?,Who is the current holder of the Norm Smith Medal?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_9ad3d8f7_1,mixed_age_400,q_9ad3d8f7,Who was the winner of the individual championship in the latest NCAA Women's Division I Cross Country Championship and what team does she represent?,Can you tell me who is recognized as the individual champion in yesterday's NCAA Women'S Division I Cross Country Championship and what were the competitors?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_9d61a241_0,mixed_age_400|heldout_400,q_9d61a241,Which trainer trained the winning horse in the King George V Stakes?,What type of trainer steered the King George V Stakes champion?,temporal_align_qa,2023,FAST,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_bc9026c6_1,mixed_age_400,q_bc9026c6,Who is the recipient of the WTA Most Improved Player award?,Who holds the title of WTA Most Improved Player?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_c60b122d_1,mixed_age_400,q_c60b122d,From which hometown is the current Miss Illinois Teen USA?,Do you know the name of Miss Illinois Teen USA's native city?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_c51c7290_0,mixed_age_400,q_c51c7290,The upcoming Microsoft's Patch Tuesday will come out on what date in North America?,"In North America, when will Microsoft start on Patch Tuesday?",freshqa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_9e4f27be_0,mixed_age_400,q_9e4f27be,Who is the winner of the National Book Award for Young People's Literature?,Which author has won Best Book in the National Award for Young People's Literature?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_94cb7c4a_1,mixed_age_400,q_94cb7c4a,Where was the USA Gymnastics National Championships held last?,Which country hosted the last USA Gymnastics National Championships?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_091915f0_0,mixed_age_400,q_091915f0,Which horse won the Persian War Novices' Hurdle recently?,What is the particular horse that won the recent Persian War Novices' Hurdle?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_f7446447_1,mixed_age_400,q_f7446447,Who is the most recent recipient of the RSA Award for Excellence in Mathematics?,Which individual has recently been awarded the RSA Award for Excellence in Mathematics?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_f46d91c5_1,mixed_age_400,q_f46d91c5,Who is the most recent recipient of the Betty Roland Prize for Script Writing in the New South Wales Premier's Literary Awards?,Which writing talent is receiving the Betty Roland Prize for Script Writing in the New South Wales Premier's Literary Awards at this moment?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_ce3247b9_3,mixed_age_400,q_ce3247b9,What is the name of the most recent horse to win the Gran Premio Carlos Pellegrini?,Which horse has won the Gran Premio Carlos Pellegrini most recently?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_134739ad_2,mixed_age_400,q_134739ad,Who were the drivers of the winning four-wheeler team in the most recent Baja 1000?,Which four-wheeler team members won the title in the most recent Baja 1000 race?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_ccd63b11_3,mixed_age_400,q_ccd63b11,Who is the recent winner of the Miles Franklin Award?,What is the name of the Miles Franklin Award recipient who was recently awarded?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_8af46f37_3,mixed_age_400,q_8af46f37,Who was the recipient of the Eddie Robinson Award?,Which individual was the recipient of the Eddie Robinson Award?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_1719b6dd_2,mixed_age_400,q_1719b6dd,Who is the director of the film that won the most recent Sonje Award at the Busan International Film Festival?,Which director took home the Sonje Award at the latest Busan International Film Festival?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_9a92a9cc_2,mixed_age_400,q_9a92a9cc,At which venue was the most recent Japan Women's Open Golf Championship held?,What was the specific spot where the latest Japan Women's Open Golf Championship took place?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_5aac65b6_1,mixed_age_400,q_5aac65b6,Which film won the Toronto International Film Festival People's Choice Award most recently?,What was the recent winning Toronto International Film Festival People's Choice Award movie?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_3141e273_1,mixed_age_400,q_3141e273,Which jockey rode the winning horse in the latest Mehl-Mülhens-Rennen?,The winner of the latest Mehl-Mülhens-Rennen was who? Which jockey did it on?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_60e402de_3,mixed_age_400|heldout_400,q_60e402de,Which book won the Orbis Pictus Award for the most recent year awarded?,Which book won the Orbis Pictus Award last year?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_28b0bd9f_0,mixed_age_400,q_28b0bd9f,Which film won the Grand Prize at the most recent Baeksang Arts Award?,Which film was the winner of the most recent Baeksang Arts Award's Grand Prize?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_2f991c6e_1,mixed_age_400,q_2f991c6e,Who is the most recent recipient of the European Association for Theoretical Computer Science EATCS Award?,Which individual has won the European Association for Theoretical Computer Science EATCS Award recently?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_51ad3d0a_0,mixed_age_400,q_51ad3d0a,Which athlete placed third in the latest Iceland's Strongest Man event?,"Who is the worst looking athlete on Iceland's list, as they come in 3rd place for most of their fans?",temporal_align_qa,2023,MEDIUM,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_9e9cc170_3,mixed_age_400,q_9e9cc170,Who was the runner-up in the most recent Bar billiards World Championship?,"Which member of the bar team made it to the last World Championship in Bar billiards, winning only six out of 47?",temporal_align_qa,2023,MEDIUM,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_41afd862_3,mixed_age_400,q_41afd862,Which team did the Los Angeles Angels face in their most recent Opening Day game?,What season did the Los Angeles Angels play?,temporal_align_qa,2023,MEDIUM,DIFFERENT,DIFFERENT,1,0,,DIFFERENT
p_q_cfb65856_2,mixed_age_400,q_cfb65856,What model of motorcycle did the winning manufacturer of the Superbike World Championship use?,Which one was the winner of superbike world championship in 1999?,temporal_align_qa,2023,MEDIUM,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_6875d955_0,mixed_age_400,q_6875d955,Who was the runner-up in the last Honinbo competition?,Who emerged as the runner-up in the most recent Olympic Games?,temporal_align_qa,2023,MEDIUM,DIFFERENT,DIFFERENT,1,0,,DIFFERENT
p_q_827117d8_2,mixed_age_400,q_827117d8,Who trained the winning horse in the most recent United Nations Stakes?,Who received the most impressive score in the pen during Sunday's United Nations Stakes?,temporal_align_qa,2023,MEDIUM,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_d665e7a3_2,mixed_age_400,q_d665e7a3,Who was the jockey riding the winning horse in the most recent Mile Championship?,Who won the record of a horse in romp racing over 100m last (mile distance)?,temporal_align_qa,2023,MEDIUM,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_c64ac1d8_3,mixed_age_400,q_c64ac1d8,What is the name of the top year-end best selling Tropical Album?,"Could you identify the Tropical album that is still being sold out but will improve in 2010 or 2011, keeping things in mind?",temporal_align_qa,2023,MEDIUM,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_3a9da6a0_3,mixed_age_400,q_3a9da6a0,Which team secured the runner-up position in the recent Kyrgyz Premier League season?,"In the recent Ryrgyz Premier League season, who was crowned as the final team's opposite player?",temporal_align_qa,2023,MEDIUM,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_58db0825_0,mixed_age_400|heldout_400,q_58db0825,Which jockey rode the winning horse in the Southwest Stakes with a time of 1,"Who was the jockey that powered the Swemphalysing Derby horse to home victory in 6: 153 feet, setting a record for fastest time since 1600 last year?",temporal_align_qa,2023,MEDIUM,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_15c4dc42_3,mixed_age_400,q_15c4dc42,Who is the winner of the most recent Sierre-Zinal race?,A. Was they last strong at Sierre-Zinal?,temporal_align_qa,2023,MEDIUM,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_0a6fd0c3_1,mixed_age_400,q_0a6fd0c3,Who is the jockey that rode the latest winning horse in the Prix Jean-Luc Lagardère?,"At the upcoming Prix Jean-Luc Lagardère, who is usually selected as one of the contenders in retrieving victory?",temporal_align_qa,2023,MEDIUM,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_54467ccf_3,mixed_age_400,q_54467ccf,Who is one of the outfielders in the National League who has won a Gold Glove Award?,"Which hitter has earned a spot in the National League with kicking offense at home plate, and what percentage of fans share that knowledge?",temporal_align_qa,2023,MEDIUM,DIFFERENT,DIFFERENT,1,0,,DIFFERENT
p_q_0e39d599_1,mixed_age_400,q_0e39d599,What role did Larry Joe Campbell play in his most recent television series appearance?,"in the most recent TV series you watched), how important was Larry Joe Campbell? When eve all shows are about themes, please include comment form or notes to make participants informed of every prize available: free dictionary entry for two.",temporal_align_qa,2023,MEDIUM,SAME,DIFFERENT,0,1,DIFFERENT,DIFFERENT
p_q_3f8c84fb_1,mixed_age_400,q_3f8c84fb,Which school holds the championship title for Class 2A in the Iowa Girls High School Athletic Union Softball?,Host Class 2A Champions/Weir Girls High School Athletic Union Softball team?(we won not agree...),temporal_align_qa,2023,MEDIUM,SAME,SAME,1,0,,SAME
p_q_15c687de_0,mixed_age_400,q_15c687de,Who was the victorious driver in the Daytona 300 race?,Which motorbike racer proven to be the competition at Daytona 300?,temporal_align_qa,2023,MEDIUM,SAME,SAME,1,0,,SAME
p_q_2d8fe2cc_3,mixed_age_400,q_2d8fe2cc,Who rode the winning horse in the most recent Prix Robert Papin?,On whom was the winner of last year’s Prix Robert Papin?,temporal_align_qa,2023,MEDIUM,SAME,SAME,1,0,,SAME
p_q_5a80cc0d_2,mixed_age_400,q_5a80cc0d,Who is the champion of the men’s category in the Walt Disney World Marathon?,Who triumphed in the race against their male counterparts for entry into the Walt Disney World Marathon?,temporal_align_qa,2023,MEDIUM,SAME,SAME,1,0,,SAME
p_q_ac1b24c0_3,mixed_age_400,q_ac1b24c0,Who is the current Downing Street Press Secretary?,"Who holds the title of Press Secretary at present, and can you provide an update on their role?",temporal_align_qa,2023,MEDIUM,SAME,SAME,1,0,,SAME
p_q_794f635d_3,mixed_age_400,q_794f635d,Who was the jockey that rode the winning horse in the most recent Gordon Stakes race?,Who was responsible for placing the pen to victory in the Gordon Stakes earlier this month?,temporal_align_qa,2023,MEDIUM,SAME,SAME,1,0,,SAME
p_q_2520c5d9_0,mixed_age_400,q_2520c5d9,Which duo won the gold medal in the European Beach Volleyball Championship most recently?,Who made it to the elite team’s list of winners after their victory in last year's European Beach Volleyball Championship with a golden crown?,temporal_align_qa,2023,MEDIUM,SAME,SAME,1,0,,SAME
p_q_0a3d5709_3,mixed_age_400,q_0a3d5709,Which football club is the current champion of the NIFL Championship?,Who is presently the leader in terms of wins for National Football League (NFL) Championship?,temporal_align_qa,2023,MEDIUM,DIFFERENT,DIFFERENT,1,0,,DIFFERENT
p_q_3e28f963_1,mixed_age_400,q_3e28f963,What's the current Tomatometer score of The Lord of the Rings: The Rings of Power on Rotten Tomatoes?,What is the current reading on Tomatometer that allows us to see The Lord of the Rings: The Ring of Power in its entirety?,freshqa,2022,MEDIUM,SAME,SAME,1,0,,SAME
p_q_0a6fd0c3_0,mixed_age_400,q_0a6fd0c3,Who is the jockey that rode the latest winning horse in the Prix Jean-Luc Lagardère?,What team is currently leading the winner of this year's Prix Jean-Luc Lagardère?,temporal_align_qa,2023,MEDIUM,DIFFERENT,DIFFERENT,1,0,,DIFFERENT
p_q_02fa4ec7_1,mixed_age_400,q_02fa4ec7,Who was the top league scorer for Everton F.C.?,Who was most outstanding goalkeeper of Everton F.C. in Ligue 1?,temporal_align_qa,2023,MEDIUM,DIFFERENT,DIFFERENT,1,0,,DIFFERENT
p_q_43f2a8a0_3,mixed_age_400,q_43f2a8a0,What team ended up thirteenth in the standings of the Western Conference most recently?,Who won the thirteenth game in the Western Conference's history?,temporal_align_qa,2023,MEDIUM,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
