audit,query_id,query,gold,fc,t,in_S,arms,sttl_k1_8_present
mixed_age_400,p_q_5e68b428_2,Who ranked first in the Bulwer-Lytton Fiction Contest among city residents?,"Maya Pasic New York, New York",FAST,232926.90225625993,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_e5cbddda_1,Which animal performs the exceptionally good duty of winning the Risen Star Stakes at this point?,Angel of Empire,FAST,399107.6852095065,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_2ca95d4e_3,Who was awarded the Points ranking on August 9th in Vuelta a Burgos men's racing?,Primož Roglič,FAST,333554.5558409475,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_785fdb1b_0,Which trainer served as the extra trainer in convincing story for Cambridgeshire Handicap last year?,Daniel & Claire Kubler,FAST,483361.38684015727,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_ffbdb73d_0,Who has been awarded the Warsaw Marathon star prize?,Levente Szemerei,FAST,547892.7136020829,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_75b15e04_3,Who has been recognized as the newly-released APRA Music Award Song of the Year?,Flume featuring May-a,FAST,213098.84503397156,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_1387f241_3,In what region is the younger Miss Iowa Teen USA from?,Ankeny,FAST,547148.7469565608,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_a5b50e32_0,Do the Toronto Raptors continue to dominate in the NBA standings?,No,FAST,314729.1430768667,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_ab431fd9_0,From which organization does the NPDA National Champions team hail?,Parliamentary Debate at Berkeley,FAST,327698.6885458451,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_2efc3bf0_2,"In the latest NASCAR Xfinity Series competition at Homestead-Miami, which horse is crowned champion?",Sam Mayer,FAST,479028.4125672751,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_28b0bd9f_3,What was the title scooped up in Best Film category at its latest Baeksang Arts Award?,Decision to Leave Award winner,FAST,603416.4525460334,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_b3cd7717_2,Who clinches the flag for victory in the recent Horizon Irish Open?,Vincent Norrman,FAST,577701.9660059134,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_04bb5dc1_2,Which horse emerged as the winner of the Chesham Stakes?,Snellen,FAST,308521.7020925812,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_ebb15c73_3,In what geometry (of sizes) does the WKB integer decoder have M dimension?,SpiralCurve,FAST,451469.4984104391,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_4e6d28cb_0,Who currently holds the top spot in scoring on multiple occasions in the UEFA Europa League table?,ENG Marcus Rashford,FAST,317689.39661509934,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_295700b1_0,Who is pictured winning the latest course in this years Vincent O'Brien National Stakes?,Henry Longfellow,FAST,335766.5553016473,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_a720c2de_2,What was selected as the selection try at this year's Australian Swimming Championship?,The Australian selection trials for the 2023 World Aquatics Championships were held in Melbourne from 13–18 June.,FAST,158354.07555727614,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_19312ca9_3,What's Victor Webster up to these days?,The Wedding Veil Journey,FAST,589494.582271547,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_59076011_1,Which warrior was honoured with the Doak Walker Award last time?,Ollie Gordon II,FAST,437124.3125015457,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_d4f726dc_3,Which contender claimed victory in the most recent doubles match at L'Open 35 de Saint-Malo?,Greet Minnen Bibiane Schoofs,FAST,414231.9820586057,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_5ac8d92d_3,What is the commencement date for Passover this year?,"Apr 5, 2023",FAST,577273.8354187174,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_697c0008_3,Who had the most recent home run loss in over 35 plate appearances at McCovey Cove?,Anthony DeSclafani,FAST,544137.8739842481,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_3c890437_3,Who had the rightful owner of the horse that won the latest Woodbine Oaks?,"Team Valor International, Gary Barber",FAST,127275.06549796,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_dfefb294_2,Which individual claimed triumph in the latest Macau Grand Prix?,Hitech Pulse-Eight,FAST,571761.6047294603,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_c5946497_1,"In the category of Best Engineered Album, which engineers were named as winner in the recent Grammy Award wins for classical music?","Shawn Murphy, Charlie Post & Gary Rydstrom ; Michael Rowanowski",FAST,584373.2594615457,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_5284772a_1,Who wins the Babe Ruth Award recently?,Adolis García,FAST,138539.72273973338,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_0d1a4b7c_0,"The horse riding the winner of the Portland Handicap, who was it?",Rossa Ryan,FAST,216552.33533478936,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_6a82c062_1,Who is at the top of the Klein Competition this year?,Emad Zolfaghari,FAST,420165.77734935004,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_4241a3d3_1,Who is the current holder of the Norm Smith Medal?,Bobby Hill Australian footballer,FAST,413622.7785209341,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_9ad3d8f7_1,Can you tell me who is recognized as the individual champion in yesterday's NCAA Women'S Division I Cross Country Championship and what were the competitors?,Parker Valby,FAST,218087.5144807518,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_9d61a241_0,What type of trainer steered the King George V Stakes champion?,William Haggas,FAST,533363.0869790721,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_bc9026c6_1,Who holds the title of WTA Most Improved Player?,Zheng Qinwen,FAST,402271.51791067,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_c60b122d_1,Do you know the name of Miss Illinois Teen USA's native city?,Chicago,FAST,107443.322059336,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_c51c7290_0,"In North America, when will Microsoft start on Patch Tuesday?","Oct 10, 2023",FAST,209540.37783727056,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_9e4f27be_0,Which author has won Best Book in the National Award for Young People's Literature?,Dan Santat,FAST,426928.2884601506,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_94cb7c4a_1,Which country hosted the last USA Gymnastics National Championships?,"San Jose, California",FAST,327969.86130638426,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_091915f0_0,What is the particular horse that won the recent Persian War Novices' Hurdle?,Captain Teague,FAST,444830.8647842788,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_f7446447_1,Which individual has recently been awarded the RSA Award for Excellence in Mathematics?,Paul Carl Kocher,FAST,469490.6440789141,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_f46d91c5_1,Which writing talent is receiving the Betty Roland Prize for Script Writing in the New South Wales Premier's Literary Awards at this moment?,Del Kathryn Barton and Huna Amweero,FAST,340502.528121629,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_ce3247b9_3,Which horse has won the Gran Premio Carlos Pellegrini most recently?,Argentina El Encinal,FAST,453315.8999821435,False,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_134739ad_2,Which four-wheeler team members won the title in the most recent Baja 1000 race?,Bryce Menzies Andy McMillin Tavo Vildósola,FAST,468410.87265566847,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_ccd63b11_3,What is the name of the Miles Franklin Award recipient who was recently awarded?,Shankari Chandran,FAST,550490.6554052583,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_8af46f37_3,Which individual was the recipient of the Eddie Robinson Award?,Jimmy Rogers,FAST,474002.0091536618,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_1719b6dd_2,Which director took home the Sonje Award at the latest Busan International Film Festival?,"Jeon Do-hee, Kim So-hee",FAST,484444.94248666835,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_9a92a9cc_2,What was the specific spot where the latest Japan Women's Open Golf Championship took place?,"Awara Golf Club, Sea Course",FAST,410402.9641817332,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_5aac65b6_1,What was the recent winning Toronto International Film Festival People's Choice Award movie?,The Holdovers,FAST,512385.645593572,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_3141e273_1,The winner of the latest Mehl-Mülhens-Rennen was who? Which jockey did it on?,Andrea Atzeni,FAST,326074.714749269,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_60e402de_3,Which book won the Orbis Pictus Award last year?,Blue: A History of the Color as Deep as the Sea and as Wide as the Sky,FAST,337525.5454665213,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_28b0bd9f_0,Which film was the winner of the most recent Baeksang Arts Award's Grand Prize?,Decision to Leave Award winner,FAST,434560.48438758875,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_2f991c6e_1,Which individual has won the European Association for Theoretical Computer Science EATCS Award recently?,Amos Fiat,FAST,97477.54793447454,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,q_f09060c5,When is the next U.S. federal holiday?,Columbus Day,FAST,199911.53183849796,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,q_8e283b0e,What is the title of Julian Sands' latest film?,Double Soul,FAST,126564.87455427976,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,q_5efb60e3,Which university did the latest Outland Trophy recipient play for?,Texas,FAST,58208.026812489705,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,q_4d8a4de4,Which artist(s) performed on the most recent winner of the Grammy Award for Best Historical Album?,Wilco,FAST,245030.27122523822,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,q_5653e571,Where was the World Junior Speed Skating Championships held most recently?,Inzell,FAST,109143.18709851606,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,q_093b18d5,Who owned the winning horse in the latest Takamatsunomiya Kinen?,Koji Yasuhara,FAST,144843.60562099074,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,q_f0345793,What television series is Leo Martinez recently in with a recurring role?,Senior High,FAST,174738.0479184458,False,fresh|on|off|sttl_k1_8,1
mixed_age_400,q_fcc76705,Who is the most recent recipient of the Hannes Alfvén Prize?,Chandrashekhar Janardan Joshi,FAST,91978.47607450266,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,q_6f19be8a,Who is the current recipient of the NABC Player of the Year in NCAA Division II basketball?,RJ Sunahara,FAST,146812.46767461198,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,q_3c890437,Who was the owner of the winning horse in the most recent Woodbine Oaks?,"Team Valor International, Gary Barber",FAST,59622.533025824945,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,q_7fc62b46,Who owned the horse that won the latest Hong Kong Sprint?,"Cheng Ming Leung, Cheng Yu Tung Et Al",FAST,98782.47623887006,False,fresh|on|off|sttl_k1_8,1
mixed_age_400,q_66b78d55,Who hosted the Juno Awards ceremony?,Simu Liu,FAST,196957.2668914138,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,q_a6d31788,Who is the most recent recipient of the Juno Award for Children's Album of the Year?,Walk off the Earth and Romeo Eats,FAST,99739.91032230869,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,q_c997700b,Who is the president of the White House Correspondents' Association?,Kelly O'Donnell,FAST,263339.47592886037,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_51ad3d0a_0,"Who is the worst looking athlete on Iceland's list, as they come in 3rd place for most of their fans?",Theodór Már Gudmundsson,MEDIUM,306024.82691557374,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_9e9cc170_3,"Which member of the bar team made it to the last World Championship in Bar billiards, winning only six out of 47?",Trevor Gallienne,MEDIUM,348378.2073235544,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_41afd862_3,What season did the Los Angeles Angels play?,Oakland Athletics,MEDIUM,357515.89743915555,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_cfb65856_2,Which one was the winner of superbike world championship in 1999?,Panigale V4 R,MEDIUM,430199.32064438355,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_6875d955_0,Who emerged as the runner-up in the most recent Olympic Games?,Yuta Iyama,MEDIUM,584445.2308221764,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_827117d8_2,Who received the most impressive score in the pen during Sunday's United Nations Stakes?,Michael J. Maker,MEDIUM,356014.3386661206,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_d665e7a3_2,Who won the record of a horse in romp racing over 100m last (mile distance)?,Kota Fujioka,MEDIUM,286333.1481690286,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_c64ac1d8_3,"Could you identify the Tropical album that is still being sold out but will improve in 2010 or 2011, keeping things in mind?",Todavia Me Amas: Lo Mejor de Aventura,MEDIUM,263653.85727059405,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_3a9da6a0_3,"In the recent Ryrgyz Premier League season, who was crowned as the final team's opposite player?",Alay Osh,MEDIUM,280449.9927504919,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_58db0825_0,"Who was the jockey that powered the Swemphalysing Derby horse to home victory in 6: 153 feet, setting a record for fastest time since 1600 last year?",John R. Velazquez,MEDIUM,540047.2992849958,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_15c4dc42_3,A. Was they last strong at Sierre-Zinal?,Philemon Ombogo Kiriago,MEDIUM,458824.8411361866,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_0a6fd0c3_1,"At the upcoming Prix Jean-Luc Lagardère, who is usually selected as one of the contenders in retrieving victory?",Sean Levey,MEDIUM,252485.51627358343,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_54467ccf_3,"Which hitter has earned a spot in the National League with kicking offense at home plate, and what percentage of fans share that knowledge?",Ian Happ,MEDIUM,454409.6480790337,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_0e39d599_1,"in the most recent TV series you watched), how important was Larry Joe Campbell? When eve all shows are about themes, please include comment form or notes to make participants informed of every prize available: free dictionary entry for two.",Park Ranger,MEDIUM,247532.2187861443,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_3f8c84fb_1,Host Class 2A Champions/Weir Girls High School Athletic Union Softball team?(we won not agree...),Iowa City Regina,MEDIUM,263301.9664680662,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_15c687de_0,Which motorbike racer proven to be the competition at Daytona 300?,Austin Hill,MEDIUM,590742.8782267882,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_2d8fe2cc_3,On whom was the winner of last year’s Prix Robert Papin?,Aurelien Lemaitre,MEDIUM,511629.68486562406,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_5a80cc0d_2,Who triumphed in the race against their male counterparts for entry into the Walt Disney World Marathon?,Daniel Dos Santos,MEDIUM,107387.01194931056,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_ac1b24c0_3,"Who holds the title of Press Secretary at present, and can you provide an update on their role?",Nerissa Chesterfield,MEDIUM,219307.20535347334,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_794f635d_3,Who was responsible for placing the pen to victory in the Gordon Stakes earlier this month?,Tom Marquand,MEDIUM,269707.8616290994,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_2520c5d9_0,Who made it to the elite team’s list of winners after their victory in last year's European Beach Volleyball Championship with a golden crown?,David Åhman Jonatan Hellvig,MEDIUM,533255.7087699184,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_0a3d5709_3,Who is presently the leader in terms of wins for National Football League (NFL) Championship?,Loughgall,MEDIUM,217616.32558486098,False,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_3e28f963_1,What is the current reading on Tomatometer that allows us to see The Lord of the Rings: The Ring of Power in its entirety?,83%,MEDIUM,588142.213245556,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_0a6fd0c3_0,What team is currently leading the winner of this year's Prix Jean-Luc Lagardère?,Sean Levey,MEDIUM,465920.5510567238,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_02fa4ec7_1,Who was most outstanding goalkeeper of Everton F.C. in Ligue 1?,D. McNeil,MEDIUM,60489.755343982906,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_43f2a8a0_3,Who won the thirteenth game in the Western Conference's history?,Portugal,MEDIUM,572616.3508176097,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_60131439_3,What was the most recent team to win an ALBA championship?,Burning River Buckets / Indiana Lyons,MEDIUM,578886.064951872,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_f8c707c8_3,What was the page number for the International Political Science Association World Congress?,Seoul,MEDIUM,361284.4849051412,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_f49c2f47_3,Which portion of the UEFA Champions League final is actually where my Adidas ball was changed to?,Adidas Finale 22,MEDIUM,347625.5895140199,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_4ddbae0c_0,Who is currently serving as the Master of a highly professional security certification firm?,Paul Miller,MEDIUM,201312.88927204034,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_f6645f8f_0,Which male skater achieved the highest gold medal position at the latest Finnish Junior Figure Skating Championship?,Iida Karhunen,MEDIUM,270900.95272012777,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_801947bd_0,Who took home the top pitch at the Sno*Drift rally they organized recently?,Canada Brandon Semenuk,MEDIUM,578133.5060926356,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_2a49e766_3,Can you provide me with the current rank of Ping Guoan F.C. manager?,Netherlands Stanley Menzo,MEDIUM,389455.9407475003,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_b9ad203c_3,What is the specific wine strength of A'bunadh in this newly launched recipe?,60.5%,MEDIUM,229040.16983856767,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_36c62536_1,Who was the last entity to come out on top and claim gold in Suomi-sarja?,Pyry,MEDIUM,528088.4710552574,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_71c4d6a7_2,Who is the recent 2017 NABC Player of the Year winner and College Gymnastics All-NBA Division III?,Wheaton,MEDIUM,409726.57784407545,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_935fff1b_0,Which commercial/steered trainer won the winning Coronation Stakes last night?,Dermot Weld,MEDIUM,474090.810014465,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_645572d1_1,Which club secured the lower part of its title in the Korvpalli Meistriliiga?,Tartu Ülikool Maks & Moorits,MEDIUM,437312.6765602803,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_5329f934_3,"On the Brisbane Lions Melbourne Cup, who is recognized as the most outstanding scorer?",Joe Daniher,MEDIUM,344353.258513259,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_48e27a79_2,Figure Skating Championships: Who won the silver medal (prior to this event) in Pairs with 3 Gold Medalist awards?,Rebecca Ghilardi / Filippo Ambrosini,MEDIUM,330361.1598405463,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_8853a8be_2,Lakota: Who was the Last team to win this years Ranji Trophy?,Bengal,MEDIUM,269444.71223650035,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_8ac2e944_2,When did the youngest lottery winner of this particular NBA draft become the first pick in rankings?,14.0014.00%,MEDIUM,316652.47305800853,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_b220eed5_0,Who claimed the top position in yesterday's HighPoint.com 400?,Denny Hamlin,MEDIUM,407919.33126172813,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_14607683_0,Who trained the successful stallion in the latest Norfolk Stakes (Great Britain)?,Adrian Murray,MEDIUM,299469.6154252968,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_67c87177_1,"Before anyone else, what is the name of the individual who received the Ron McAuliffe Medal?",Reuben Cotter,MEDIUM,155034.8749958743,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_16f7110e_1,What team came in second place to contest the KNVB Women's Cup?,PSV,MEDIUM,268432.8989147379,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_c52c10db_1,Who steered the victorious horse in this year's Tenno Sho Spring during Jockey?,Christophe Lemaire,MEDIUM,327588.233582052,False,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_c973e5b1_0,Who has given the FWA Tribute Award after its previous presentation?,Yaya Touré,MEDIUM,535678.4989663966,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_6a754bab_0,I'm curious to know the identity of who is heading the Institute of Physics and Engineering in Medicine.,Dr Robert Farley,MEDIUM,411690.4284127001,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_9aa8fdeb_0,What is the character explained by John Carroll Lynch in his recent TV series?,John N. Mitchell,MEDIUM,266512.10675700626,False,fresh|on|off|sttl_k1_8,1
