unit_id,base_query_id,snapshot_round,n_requests,gold_source,original_gold_year,volatility,years_annotated,latest_annotated_year,years_gap_to_corpus,stable_across_annotated_years,gold_equals_latest_annotated,gold_differs_from_some_annotated_year
q_0a6fd0c3@rerun_24h,q_0a6fd0c3,rerun_24h,2,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_0abe1d0e@rerun_24h,q_0abe1d0e,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_0b649394@rerun_24h,q_0b649394,rerun_24h,1,triviaqa,,NOT_TIME_KEYED,,,,,,
q_0bf77f06@rerun_24h,q_0bf77f06,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_0c3fca22@rerun_24h,q_0c3fca22,rerun_24h,1,triviaqa,,NOT_TIME_KEYED,,,,,,
q_0c4788f0@rerun_24h,q_0c4788f0,rerun_24h,2,triviaqa,,NOT_TIME_KEYED,,,,,,
q_0c61ace3@rerun_24h,q_0c61ace3,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_0c7e44a5@rerun_24h,q_0c7e44a5,rerun_24h,2,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_0d1a4b7c@rerun_24h,q_0d1a4b7c,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_0da13098@rerun_24h,q_0da13098,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_0df35e70@rerun_24h,q_0df35e70,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_0e39d599@rerun_24h,q_0e39d599,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_0e3fb3ca@rerun_24h,q_0e3fb3ca,rerun_24h,2,triviaqa,,NOT_TIME_KEYED,,,,,,
q_0f14ed28@rerun_24h,q_0f14ed28,rerun_24h,1,triviaqa,,NOT_TIME_KEYED,,,,,,
q_10399b97@rerun_24h,q_10399b97,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_10c25152@rerun_24h,q_10c25152,rerun_24h,2,triviaqa,,NOT_TIME_KEYED,,,,,,
q_10fbddc5@rerun_24h,q_10fbddc5,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_113fc559@rerun_24h,q_113fc559,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_12d05949@rerun_24h,q_12d05949,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_134739ad@rerun_24h,q_134739ad,rerun_24h,2,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_134c8d29@rerun_24h,q_134c8d29,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_1387f241@rerun_24h,q_1387f241,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_13a1eaa3@rerun_24h,q_13a1eaa3,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_13b3027b@rerun_24h,q_13b3027b,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_13dd3bf9@rerun_24h,q_13dd3bf9,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_145203c8@rerun_24h,q_145203c8,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_14607683@rerun_24h,q_14607683,rerun_24h,2,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_1480c99d@rerun_24h,q_1480c99d,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_14993a2f@rerun_24h,q_14993a2f,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_15c4dc42@rerun_24h,q_15c4dc42,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_15c687de@rerun_24h,q_15c687de,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_16bfd035@rerun_24h,q_16bfd035,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_16e427cd@rerun_24h,q_16e427cd,rerun_24h,2,triviaqa,,NOT_TIME_KEYED,,,,,,
q_16f7110e@rerun_24h,q_16f7110e,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_1719b6dd@rerun_24h,q_1719b6dd,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_177880b1@rerun_24h,q_177880b1,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_17f33f25@rerun_24h,q_17f33f25,rerun_24h,1,freshqa,before 2022,SINGLE_YEAR,before 2022,before 2022,,,1,
q_180c42e7@rerun_24h,q_180c42e7,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_1816d40e@rerun_24h,q_1816d40e,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_18279081@rerun_24h,q_18279081,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_18350211@rerun_24h,q_18350211,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_18c91502@rerun_24h,q_18c91502,rerun_24h,1,triviaqa,,NOT_TIME_KEYED,,,,,,
q_18f5cfa8@rerun_24h,q_18f5cfa8,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_19312ca9@rerun_24h,q_19312ca9,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_196f0aca@rerun_24h,q_196f0aca,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_19e1347b@rerun_24h,q_19e1347b,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_1b42ed48@rerun_24h,q_1b42ed48,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_1c1961cd@rerun_24h,q_1c1961cd,rerun_24h,1,freshqa,2022,SINGLE_YEAR,2022,2022,4,,1,
q_1c20f8ba@rerun_24h,q_1c20f8ba,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_1c3ba216@rerun_24h,q_1c3ba216,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_1dc7b96e@rerun_24h,q_1dc7b96e,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_1ed44863@rerun_24h,q_1ed44863,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_1eee07b1@rerun_12h,q_1eee07b1,rerun_12h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_1ef14187@rerun_24h,q_1ef14187,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_1fe5242d@rerun_24h,q_1fe5242d,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_1ff720ce@rerun_24h,q_1ff720ce,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_20085526@rerun_24h,q_20085526,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_2053c0d3@rerun_24h,q_2053c0d3,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_21078da3@rerun_24h,q_21078da3,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_21593fd1@rerun_1h,q_21593fd1,rerun_1h,1,triviaqa,,NOT_TIME_KEYED,,,,,,
q_21593fd1@rerun_24h,q_21593fd1,rerun_24h,1,triviaqa,,NOT_TIME_KEYED,,,,,,
q_226ccc1f@rerun_24h,q_226ccc1f,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_22adabe9@rerun_24h,q_22adabe9,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_23194df6@rerun_12h,q_23194df6,rerun_12h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_23265c46@rerun_24h,q_23265c46,rerun_24h,1,triviaqa,,NOT_TIME_KEYED,,,,,,
q_23baebab@rerun_24h,q_23baebab,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_2520c5d9@rerun_24h,q_2520c5d9,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_25725075@rerun_24h,q_25725075,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_25a74024@rerun_24h,q_25a74024,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_25f44bbf@rerun_24h,q_25f44bbf,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_261a287e@rerun_24h,q_261a287e,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_26393420@rerun_24h,q_26393420,rerun_24h,2,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_268237ac@rerun_24h,q_268237ac,rerun_24h,2,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_27293a94@rerun_24h,q_27293a94,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_2761fdfe@rerun_24h,q_2761fdfe,rerun_24h,1,triviaqa,,NOT_TIME_KEYED,,,,,,
q_28911a13@rerun_24h,q_28911a13,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_28b0bd9f@rerun_24h,q_28b0bd9f,rerun_24h,2,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_29032ea3@rerun_24h,q_29032ea3,rerun_24h,1,triviaqa,,NOT_TIME_KEYED,,,,,,
q_292449b7@rerun_24h,q_292449b7,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_295700b1@rerun_24h,q_295700b1,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_297334f5@rerun_24h,q_297334f5,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_29e53c6d@rerun_24h,q_29e53c6d,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_29f9cc16@rerun_24h,q_29f9cc16,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_2a49e766@rerun_24h,q_2a49e766,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_2a87233c@rerun_24h,q_2a87233c,rerun_24h,1,triviaqa,,NOT_TIME_KEYED,,,,,,
q_2ac34d0d@rerun_24h,q_2ac34d0d,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_2b247cc4@rerun_1h,q_2b247cc4,rerun_1h,1,triviaqa,,NOT_TIME_KEYED,,,,,,
