unit_id,base_query_id,snapshot_round,base_query,n_requests,request_ids,gold,n_distinct_golds,gold_source,gold_year,n_distinct_urls,n_snapshots_available,snapshot_complete,any_snapshot
q_06267d08@rerun_24h,q_06267d08,rerun_24h,Who were the editors of the 'Varsity' (Cambridge) publication in the Michaelmas term most recently?,1,p_q_06267d08_1,megan byrom & famke veenstra-ashmore,1,temporal_align_qa,2023,1,1,1,1
q_06c15fe9@rerun_24h,q_06c15fe9,rerun_24h,What colour is Santa Claus' belt?,1,p_q_06c15fe9_1,black,1,triviaqa,,2,2,1,1
q_083bf58e@rerun_24h,q_083bf58e,rerun_24h,Who is the current kit supplier for the Peru national football team?,1,p_q_083bf58e_1,germany adidas,1,temporal_align_qa,2023,1,1,1,1
q_0862570f@rerun_24h,q_0862570f,rerun_24h,Who holds the position of representative for Utah's 4th congressional district?,1,p_q_0862570f_2,burgess owens,1,temporal_align_qa,2023,2,1,0,1
q_0899721b@rerun_24h,q_0899721b,rerun_24h,Who is the University of California student regent?,1,p_q_0899721b_0,marlenee blas pedral,1,temporal_align_qa,2023,2,2,1,1
q_091915f0@rerun_24h,q_091915f0,rerun_24h,Which horse won the Persian War Novices' Hurdle recently?,1,p_q_091915f0_0,captain teague,1,temporal_align_qa,2023,1,1,1,1
q_091c3460@rerun_24h,q_091c3460,rerun_24h,Which basketball team is the most recent runner-up in the Georgian Superliga?,1,p_q_091c3460_2,bc rustavi,1,temporal_align_qa,2023,1,1,1,1
q_093b18d5@rerun_24h,q_093b18d5,rerun_24h,Who owned the winning horse in the latest Takamatsunomiya Kinen?,1,q_093b18d5,koji yasuhara,1,temporal_align_qa,2023,2,2,1,1
q_09b65984@rerun_1h,q_09b65984,rerun_1h,What is the chemical compound Calcium Oxide commonly known as?,1,q_09b65984,quicklime (or burnt lime),1,triviaqa,,2,2,1,1
q_0a3d5709@rerun_24h,q_0a3d5709,rerun_24h,Which football club is the current champion of the NIFL Championship?,1,p_q_0a3d5709_3,loughgall,1,temporal_align_qa,2023,1,1,1,1
q_0a45943e@rerun_24h,q_0a45943e,rerun_24h,Carl XVI Gustav became king of which European country in September 1973?,1,p_q_0a45943e_0,sweden,1,triviaqa,,1,1,1,1
q_0a6fd0c3@rerun_24h,q_0a6fd0c3,rerun_24h,Who is the jockey that rode the latest winning horse in the Prix Jean-Luc Lagardère?,2,p_q_0a6fd0c3_1|p_q_0a6fd0c3_0,sean levey,1,temporal_align_qa,2023,1,1,1,1
q_0abe1d0e@rerun_24h,q_0abe1d0e,rerun_24h,What was the number of conference wins achieved by the Clemson Tigers men's soccer team in their latest season?,1,p_q_0abe1d0e_2,4,1,temporal_align_qa,2023,1,1,1,1
q_0b649394@rerun_24h,q_0b649394,rerun_24h,The War of Jenkins' Ear was part of which bigger war?,1,p_q_0b649394_1,austrian succession,1,triviaqa,,1,1,1,1
q_0bf77f06@rerun_24h,q_0bf77f06,rerun_24h,Who is the PFA Scotland Players' Player of the Year for the Scottish Championship?,1,p_q_0bf77f06_0,dipo akinyemi,1,temporal_align_qa,2023,2,2,1,1
q_0c3fca22@rerun_24h,q_0c3fca22,rerun_24h,What is the name of the index of average daily prices on the New York Stock Exchange?,1,p_q_0c3fca22_0,dow jones,1,triviaqa,,1,1,1,1
q_0c4788f0@rerun_24h,q_0c4788f0,rerun_24h,Welsh singer Michael Barratt is better known by which name?,2,p_q_0c4788f0_0|p_q_0c4788f0_1,shakin' stevens,1,triviaqa,,1,1,1,1
q_0c61ace3@rerun_24h,q_0c61ace3,rerun_24h,Which athlete won the Giant Slalom Men's World Cup?,1,p_q_0c61ace3_3,marco odermatt,1,temporal_align_qa,2023,1,1,1,1
q_0c7e44a5@rerun_24h,q_0c7e44a5,rerun_24h,Who is the current senator representing the Lagos West Senatorial District?,2,q_0c7e44a5|p_q_0c7e44a5_0,oluranti adebule,1,temporal_align_qa,2023,2,2,1,1
q_0d1a4b7c@rerun_24h,q_0d1a4b7c,rerun_24h,Who was the jockey riding the horse that recently won the Portland Handicap?,1,p_q_0d1a4b7c_0,rossa ryan,1,temporal_align_qa,2023,1,1,1,1
q_0da13098@rerun_24h,q_0da13098,rerun_24h,What is the motto of the current Frankfurt Book Fair?,1,p_q_0da13098_2,honeycomb of words,1,temporal_align_qa,2023,1,1,1,1
q_0df35e70@rerun_24h,q_0df35e70,rerun_24h,Who trained the winning horse of the Celebration Mile?,1,p_q_0df35e70_1,ralph beckett,1,temporal_align_qa,2023,1,1,1,1
q_0e39d599@rerun_24h,q_0e39d599,rerun_24h,What role did Larry Joe Campbell play in his most recent television series appearance?,1,p_q_0e39d599_1,park ranger,1,temporal_align_qa,2023,1,1,1,1
q_0e3fb3ca@rerun_24h,q_0e3fb3ca,rerun_24h,"What famous event for daredevils happens in Pamplona, Spain?",2,p_q_0e3fb3ca_0|q_0e3fb3ca,running of the bulls,1,triviaqa,,2,2,1,1
q_0f14ed28@rerun_24h,q_0f14ed28,rerun_24h,Fernando Alonso drives for which F1 team?,1,p_q_0f14ed28_1,scuderia ferrari,1,triviaqa,,2,2,1,1
q_10399b97@rerun_24h,q_10399b97,rerun_24h,Which team does the top scorer of the 2. Liga in Slovakia play for?,1,p_q_10399b97_0,tatran prešov,1,temporal_align_qa,2023,1,1,1,1
q_10c25152@rerun_24h,q_10c25152,rerun_24h,Who was appointed the first woman cabinet minister in the UK?,2,p_q_10c25152_1|q_10c25152,margaret bondfield,1,triviaqa,,1,1,1,1
q_10fbddc5@rerun_24h,q_10fbddc5,rerun_24h,Which artists won the Grammy Award for Best Large Jazz Ensemble Album most recently?,1,p_q_10fbddc5_2,"steven feifke, bijon watson & the generation gap jazz orchestra",1,temporal_align_qa,2023,1,1,1,1
q_113fc559@rerun_24h,q_113fc559,rerun_24h,Who is the most recent winner of the Beacon Award for the Fremantle Football Club?,1,p_q_113fc559_1,jye amiss,1,temporal_align_qa,2023,2,2,1,1
q_12d05949@rerun_24h,q_12d05949,rerun_24h,Which jockey rode the winning horse in the latest Superlative Stakes?,1,p_q_12d05949_0,ryan moore,1,temporal_align_qa,2023,2,2,1,1
q_134739ad@rerun_24h,q_134739ad,rerun_24h,Who were the drivers of the winning four-wheeler team in the most recent Baja 1000?,2,p_q_134739ad_2|p_q_134739ad_3,bryce menzies andy mcmillin tavo vildósola,1,temporal_align_qa,2023,2,2,1,1
q_134c8d29@rerun_24h,q_134c8d29,rerun_24h,Who is serving as the chair of the Education Commission of the States?,1,p_q_134c8d29_3,asa hutchinson,1,temporal_align_qa,2023,2,2,1,1
q_1387f241@rerun_24h,q_1387f241,rerun_24h,What is the hometown of the reigning Miss Iowa Teen USA?,1,p_q_1387f241_3,ankeny,1,temporal_align_qa,2023,2,2,1,1
q_13a1eaa3@rerun_24h,q_13a1eaa3,rerun_24h,Who is the current head coach of the Denver Nuggets?,1,q_13a1eaa3,michael malone,1,temporal_align_qa,2023,1,1,1,1
q_13b3027b@rerun_24h,q_13b3027b,rerun_24h,What is the most recent achievement of the Club La Matica basketball team?,1,p_q_13b3027b_2,potros de la matica,1,temporal_align_qa,2023,2,2,1,1
q_13dd3bf9@rerun_24h,q_13dd3bf9,rerun_24h,Who is the current British champion in triple jump for men?,1,p_q_13dd3bf9_1,efe uwaifo,1,temporal_align_qa,2023,1,1,1,1
q_145203c8@rerun_24h,q_145203c8,rerun_24h,Who was the jockey that rode the winning horse in the most recent Preis von Europa?,1,p_q_145203c8_3,rene piechulek,1,temporal_align_qa,2023,1,1,1,1
q_14607683@rerun_24h,q_14607683,rerun_24h,Which trainer prepared the winning horse of the latest Norfolk Stakes (Great Britain)?,2,p_q_14607683_0|p_q_14607683_1,adrian murray,1,temporal_align_qa,2023,1,1,1,1
q_1480c99d@rerun_24h,q_1480c99d,rerun_24h,What school recently claimed the title in the Iowa High School Athletic Association Baseball Summer 3A State Tournament?,1,p_q_1480c99d_0,western dubuque,1,temporal_align_qa,2023,1,1,1,1
q_14993a2f@rerun_24h,q_14993a2f,rerun_24h,Who is the current Formula One World Drivers' Champion?,1,q_14993a2f,max verstappen,1,temporal_align_qa,2023,2,2,1,1
q_15c4dc42@rerun_24h,q_15c4dc42,rerun_24h,Who is the winner of the most recent Sierre-Zinal race?,1,p_q_15c4dc42_3,philemon ombogo kiriago,1,temporal_align_qa,2023,1,1,1,1
q_15c687de@rerun_24h,q_15c687de,rerun_24h,Who was the victorious driver in the Daytona 300 race?,1,p_q_15c687de_0,austin hill,1,temporal_align_qa,2023,2,2,1,1
q_16bfd035@rerun_24h,q_16bfd035,rerun_24h,Where was the final of the latest Derry Senior Football Championship held?,1,q_16bfd035,celtic park,1,temporal_align_qa,2023,1,1,1,1
q_16e427cd@rerun_24h,q_16e427cd,rerun_24h,In which capital city is the Tivoli amusement park?,2,p_q_16e427cd_0|p_q_16e427cd_2,copenhagen,1,triviaqa,,2,2,1,1
q_16f7110e@rerun_24h,q_16f7110e,rerun_24h,Which football club was the runner-up in the last KNVB Women's Cup final?,1,p_q_16f7110e_1,psv,1,temporal_align_qa,2023,1,1,1,1
q_1719b6dd@rerun_24h,q_1719b6dd,rerun_24h,Who is the director of the film that won the most recent Sonje Award at the Busan International Film Festival?,1,p_q_1719b6dd_2,"jeon do-hee, kim so-hee",1,temporal_align_qa,2023,1,1,1,1
q_177880b1@rerun_24h,q_177880b1,rerun_24h,Who is the head coach of the Washington Mystics?,1,p_q_177880b1_1,eric thibault,1,temporal_align_qa,2023,1,1,1,1
q_17f33f25@rerun_24h,q_17f33f25,rerun_24h,Which language has the third largest population by total number of speakers?,1,p_q_17f33f25_1,hindi,1,freshqa,before 2022,1,1,1,1
q_180c42e7@rerun_24h,q_180c42e7,rerun_24h,Which horse won the most recent Nassau Stakes?,1,p_q_180c42e7_2,al husn,1,temporal_align_qa,2023,1,1,1,1
q_1816d40e@rerun_24h,q_1816d40e,rerun_24h,Which video game did Vanessa Marshall voice a character in?,1,p_q_1816d40e_1,justice league: cosmic chaos,1,temporal_align_qa,2023,1,1,1,1
q_18279081@rerun_24h,q_18279081,rerun_24h,Who currently serves as the speaker of the Alaska House of Representatives?,1,p_q_18279081_1,louise stutes,1,temporal_align_qa,2023,1,1,1,1
q_18350211@rerun_24h,q_18350211,rerun_24h,Which Major League Soccer team had the lowest average attendance?,1,q_18350211,houston dynamo fc,1,temporal_align_qa,2023,1,1,1,1
q_18c91502@rerun_24h,q_18c91502,rerun_24h,"""What is a synonym for """"irritable""""?""",1,p_q_18c91502_2,crotchety,1,triviaqa,,2,2,1,1
q_18f5cfa8@rerun_24h,q_18f5cfa8,rerun_24h,Who is the current elected representative of the Electoral district of Pittwater?,1,p_q_18f5cfa8_0,rob stokes,1,temporal_align_qa,2023,1,1,1,1
q_19312ca9@rerun_24h,q_19312ca9,rerun_24h,What's the latest project Victor Webster has worked on?,1,p_q_19312ca9_3,the wedding veil journey,1,temporal_align_qa,2023,1,1,1,1
q_196f0aca@rerun_24h,q_196f0aca,rerun_24h,When did the current manager of Stoke City F.C. begin their term?,1,p_q_196f0aca_2,december 2023,1,temporal_align_qa,2023,1,1,1,1
q_19e1347b@rerun_24h,q_19e1347b,rerun_24h,Where was the most recent Opening Day game for the Los Angeles Angels held?,1,p_q_19e1347b_1,ringcentral coliseum,1,temporal_align_qa,2023,1,1,1,1
q_1b42ed48@rerun_24h,q_1b42ed48,rerun_24h,Which professional wrestling promotion hosted the latest event at the Tokyo Dome?,1,p_q_1b42ed48_2,noah,1,temporal_align_qa,2023,1,1,1,1
q_1c1961cd@rerun_24h,q_1c1961cd,rerun_24h,In what country was the current Miss World born?,1,p_q_1c1961cd_2,poland,1,freshqa,2022,1,1,1,1
q_1c20f8ba@rerun_24h,q_1c20f8ba,rerun_24h,What slogan is featured on a current specialty license plate in Wisconsin?,1,p_q_1c20f8ba_0,share the road,1,temporal_align_qa,2023,2,2,1,1
q_1c3ba216@rerun_24h,q_1c3ba216,rerun_24h,Which pair took home the bronze medal in the latest Nebelhorn Trophy Senior Pairs competition?,1,p_q_1c3ba216_2,annika hocke / robert kunkel,1,temporal_align_qa,2023,1,1,1,1
q_1dc7b96e@rerun_24h,q_1dc7b96e,rerun_24h,Who is the most recent winner of the Turf Classic Stakes?,1,p_q_1dc7b96e_3,up to the mark,1,temporal_align_qa,2023,1,1,1,1
q_1ed44863@rerun_24h,q_1ed44863,rerun_24h,Who is the current representative for Louisiana's 4th congressional district?,1,p_q_1ed44863_1,mike johnson,1,temporal_align_qa,2023,1,1,1,1
q_1eee07b1@rerun_12h,q_1eee07b1,rerun_12h,What is the title of the documentary narrated by Stephen Mangan?,1,q_1eee07b1,artist of the year,1,temporal_align_qa,2023,1,1,1,1
q_1ef14187@rerun_24h,q_1ef14187,rerun_24h,Which team took the victory at the most recent 12 Hours of Sebring race?,1,p_q_1ef14187_0,whelen engineering racing,1,temporal_align_qa,2023,3,3,1,1
q_1fe5242d@rerun_24h,q_1fe5242d,rerun_24h,Who was the jockey that rode the winning horse in the latest Hong Kong Sprint?,1,p_q_1fe5242d_3,zac purton,1,temporal_align_qa,2023,2,2,1,1
q_1ff720ce@rerun_24h,q_1ff720ce,rerun_24h,From which state is the senator who currently has the Candy Desk in the United States Senate?,1,p_q_1ff720ce_2,pennsylvania,1,temporal_align_qa,2023,1,1,1,1
q_20085526@rerun_24h,q_20085526,rerun_24h,Who is the National League Gold Glove Award winner for first base?,1,p_q_20085526_2,christian walker,1,temporal_align_qa,2023,1,1,1,1
q_2053c0d3@rerun_24h,q_2053c0d3,rerun_24h,Who is the current Professional Referee of the Year in Belgian professional football?,1,p_q_2053c0d3_3,jonathan lardot,1,temporal_align_qa,2023,1,1,1,1
q_21078da3@rerun_24h,q_21078da3,rerun_24h,Which pair is the runners-up in the Australian Open mixed doubles championship?,1,p_q_21078da3_1,sania mirza rohan bopanna,1,temporal_align_qa,2023,2,2,1,1
q_21593fd1@rerun_1h,q_21593fd1,rerun_1h,"""The album """"Good Girl Gone Bad"""" was the number 1 selling album in the UK in 2009 with sales of 1.5 million. Who was the singer?""",1,q_21593fd1,rihanna,1,triviaqa,,1,1,1,1
q_21593fd1@rerun_24h,q_21593fd1,rerun_24h,"""The album """"Good Girl Gone Bad"""" was the number 1 selling album in the UK in 2009 with sales of 1.5 million. Who was the singer?""",1,p_q_21593fd1_3,rihanna,1,triviaqa,,1,1,1,1
q_226ccc1f@rerun_24h,q_226ccc1f,rerun_24h,What is the latest release by Soulfly?,1,p_q_226ccc1f_3,*totem,1,temporal_align_qa,2023,2,2,1,1
q_22adabe9@rerun_24h,q_22adabe9,rerun_24h,What was the model name of the Williams Grand Prix Engineering car that had USA Logan Sargeant and THA Alexander Albon as drivers?,1,p_q_22adabe9_1,fw45,1,temporal_align_qa,2023,1,1,1,1
q_23194df6@rerun_12h,q_23194df6,rerun_12h,Who is the President of the East Texas Yamboree for the current festival?,1,p_q_23194df6_1,abigail elaine stewart,1,temporal_align_qa,2023,1,1,1,1
q_23265c46@rerun_24h,q_23265c46,rerun_24h,El Capitan was free climbed is January 2015 - in which US National Park is it found?,1,p_q_23265c46_2,yosemite,1,triviaqa,,1,1,1,1
q_23baebab@rerun_24h,q_23baebab,rerun_24h,What character was portrayed by the winner of the most recent Metro Manila Film Festival Award for Best Actress?,1,p_q_23baebab_2,eileen,1,temporal_align_qa,2023,2,2,1,1
q_2520c5d9@rerun_24h,q_2520c5d9,rerun_24h,Which duo won the gold medal in the European Beach Volleyball Championship most recently?,1,p_q_2520c5d9_0,david åhman jonatan hellvig,1,temporal_align_qa,2023,2,2,1,1
q_25725075@rerun_24h,q_25725075,rerun_24h,Which team is the current champion of the Liga Departamental de Áncash?,1,p_q_25725075_0,san marcos,1,temporal_align_qa,2023,1,1,1,1
q_25a74024@rerun_24h,q_25a74024,rerun_24h,Who is one of the current hosts of Vision Australia's Carols by Candlelight?,1,p_q_25a74024_0,sarah abo and david campbell,1,temporal_align_qa,2023,1,1,1,1
q_25f44bbf@rerun_24h,q_25f44bbf,rerun_24h,Who is the current leader of the Union of Jewish Students?,1,p_q_25f44bbf_1,joel rosen,1,temporal_align_qa,2023,1,1,1,1
q_261a287e@rerun_24h,q_261a287e,rerun_24h,Which team won the National League East division?,1,p_q_261a287e_0,atlanta braves,1,temporal_align_qa,2023,1,1,1,1
q_26393420@rerun_24h,q_26393420,rerun_24h,Which trainer prepared the winning horse of the latest Queen Elizabeth II Challenge Cup Stakes?,2,p_q_26393420_3|p_q_26393420_2,saeed bin suroor,1,temporal_align_qa,2023,2,2,1,1
q_268237ac@rerun_24h,q_268237ac,rerun_24h,Who was the jockey riding the winning horse in the latest Tenno Sho Autumn?,2,q_268237ac|p_q_268237ac_1,christophe lemaire,1,temporal_align_qa,2023,2,2,1,1
q_27293a94@rerun_24h,q_27293a94,rerun_24h,Who is the current President of Nigeria?,1,p_q_27293a94_1,bola tinubu,1,temporal_align_qa,2023,1,1,1,1
q_2761fdfe@rerun_24h,q_2761fdfe,rerun_24h,"The story of Joseph featuring the coat of many colours, appears in which book of the Bible?",1,p_q_2761fdfe_1,genesis,1,triviaqa,,2,2,1,1
q_28911a13@rerun_24h,q_28911a13,rerun_24h,Who is the current Australian of the Year?,1,p_q_28911a13_1,taryn brumfitt,1,temporal_align_qa,2023,1,1,1,1
q_28b0bd9f@rerun_24h,q_28b0bd9f,rerun_24h,Which film won the Grand Prize at the most recent Baeksang Arts Award?,2,p_q_28b0bd9f_3|p_q_28b0bd9f_0,decision to leave award winner,1,temporal_align_qa,2023,1,1,1,1
q_29032ea3@rerun_24h,q_29032ea3,rerun_24h,"In which city would you find the following; Aventine, Caelian, Capitoline, Esquiline, Palatine, Quirinal and Viminal?",1,p_q_29032ea3_1,rome,1,triviaqa,,1,1,1,1
q_292449b7@rerun_24h,q_292449b7,rerun_24h,Who trained the winning horse of the most current Jeff Ruby Steaks?,1,p_q_292449b7_1,larry rivelli,1,temporal_align_qa,2023,1,1,1,1
q_295700b1@rerun_24h,q_295700b1,rerun_24h,Which horse won the most recent Vincent O'Brien National Stakes?,1,p_q_295700b1_0,henry longfellow,1,temporal_align_qa,2023,1,1,1,1
q_297334f5@rerun_24h,q_297334f5,rerun_24h,Who was the replay official in the most recent Super Bowl?,1,p_q_297334f5_3,mark butterworth,1,temporal_align_qa,2023,1,1,1,1
q_29e53c6d@rerun_24h,q_29e53c6d,rerun_24h,Who rode the winning horse in the latest edition of the Black-Eyed Susan Stakes?,1,q_29e53c6d,rafael bejarano,1,temporal_align_qa,2023,1,1,1,1
q_29f9cc16@rerun_24h,q_29f9cc16,rerun_24h,Who is the featured subject of the William Hill Sports Book of the Year winning title?,1,p_q_29f9cc16_1,lauren fleshman,1,temporal_align_qa,2023,1,1,1,1
q_2a49e766@rerun_24h,q_2a49e766,rerun_24h,Who currently holds the position of manager for Beijing Guoan F.C.?,1,p_q_2a49e766_3,netherlands stanley menzo,1,temporal_align_qa,2023,2,2,1,1
q_2a87233c@rerun_24h,q_2a87233c,rerun_24h,"Little Big Horn, the scene of Custer's last stand, is in which US state?",1,p_q_2a87233c_3,montana,1,triviaqa,,1,1,1,1
q_2ac34d0d@rerun_24h,q_2ac34d0d,rerun_24h,Which jockey rode the winning horse in the most recent February Stakes?,1,p_q_2ac34d0d_1,ryusei sakai,1,temporal_align_qa,2023,3,3,1,1
q_2b247cc4@rerun_1h,q_2b247cc4,rerun_1h,"Commissioned by Queen Victoria in memory of her husband, in which Royal park would you find the Albert Memorial?",1,p_q_2b247cc4_0,kensington gardens,1,triviaqa,,1,1,1,1
q_2b37471e@rerun_24h,q_2b37471e,rerun_24h,What was the outcome of Judson High School's final game?,1,p_q_2b37471e_0,lost in area round to state quarterfinalist dripping springs 34-38,1,temporal_align_qa,2023,1,1,1,1
q_2b61b711@rerun_24h,q_2b61b711,rerun_24h,Which team was the runner-up in the last Lietuvos krepšinio lyga season?,3,p_q_2b61b711_2|p_q_2b61b711_1|p_q_2b61b711_3,rytas,1,temporal_align_qa,2023,1,1,1,1
q_2ba29c4f@rerun_24h,q_2ba29c4f,rerun_24h,Who was the US Attorney General to J F Kennedy?,1,p_q_2ba29c4f_0,robert kennedy,1,triviaqa,,1,1,1,1
q_2bbc82e4@rerun_24h,q_2bbc82e4,rerun_24h,Who is the most recent recipient of the Ebony Shoe Award?,1,p_q_2bbc82e4_2,mike trésor,1,temporal_align_qa,2023,1,1,1,1
q_2be2d65b@rerun_24h,q_2be2d65b,rerun_24h,At which athletics meet was the newest Puerto Rican record in heptathlon set?,1,p_q_2be2d65b_2,new mexico collegiate classic,1,temporal_align_qa,2023,1,1,1,1
q_2c023058@rerun_24h,q_2c023058,rerun_24h,How many fatalities were reported as a result of the Atlantic hurricane season?,1,p_q_2c023058_3,15,1,temporal_align_qa,2023,2,2,1,1
q_2c3456d3@rerun_12h,q_2c3456d3,rerun_12h,Who is the skip of Colin Hufman's curling team?,1,p_q_2c3456d3_3,john shuster,1,temporal_align_qa,2023,2,2,1,1
q_2ca95d4e@rerun_1h,q_2ca95d4e,rerun_1h,Who claimed the Points classification victory in the Vuelta a Burgos men's race?,1,q_2ca95d4e,primož roglič,1,temporal_align_qa,2023,1,1,1,1
q_2ca95d4e@rerun_24h,q_2ca95d4e,rerun_24h,Who claimed the Points classification victory in the Vuelta a Burgos men's race?,1,p_q_2ca95d4e_3,primož roglič,1,temporal_align_qa,2023,1,1,1,1
q_2cbafc2e@rerun_24h,q_2cbafc2e,rerun_24h,What is the English title of the latest film submitted by Iceland for the Academy Award for Best International Feature Film?,1,p_q_2cbafc2e_1,godland,1,temporal_align_qa,2023,1,1,1,1
q_2d02fb45@rerun_24h,q_2d02fb45,rerun_24h,The Tyrol is a region in which mountain range?,3,p_q_2d02fb45_3|p_q_2d02fb45_2|p_q_2d02fb45_1,alps,1,triviaqa,,1,1,1,1
q_2d2c3ec0@rerun_24h,q_2d2c3ec0,rerun_24h,"November 27, 1701 saw the birth of a Swedish astronomer, who proposed what temperature scale where in which water freezes at 0 degrees and boils at 100 degrees?",1,p_q_2d2c3ec0_0,celsius,1,triviaqa,,2,2,1,1
q_2d3da894@rerun_24h,q_2d3da894,rerun_24h,Who held the cleanup spot for the Miami Marlins in their latest opening day lineup?,1,p_q_2d3da894_1,jazz chisholm jr. cf,1,temporal_align_qa,2023,2,2,1,1
q_2d8fe2cc@rerun_24h,q_2d8fe2cc,rerun_24h,Who rode the winning horse in the most recent Prix Robert Papin?,1,p_q_2d8fe2cc_3,aurelien lemaitre,1,temporal_align_qa,2023,1,1,1,1
q_2d965d45@rerun_24h,q_2d965d45,rerun_24h,Who is the current president of the Richmond Football Club?,1,q_2d965d45,brendon gale,1,temporal_align_qa,2023,1,1,1,1
q_2db8b371@rerun_24h,q_2db8b371,rerun_24h,Which year saw the dissolution of the Soviet Union?,1,p_q_2db8b371_3,1991,1,triviaqa,,1,1,1,1
q_2dc6d84a@rerun_24h,q_2dc6d84a,rerun_24h,Horatio Nelson lost his arm in an abortive attack on which island?,1,p_q_2dc6d84a_3,tenerife,1,triviaqa,,1,1,1,1
q_2e0c6ace@rerun_24h,q_2e0c6ace,rerun_24h,Who is currently serving as the Secretary of the Pennsylvania Department of Health?,1,p_q_2e0c6ace_2,denise johnson,1,temporal_align_qa,2023,2,2,1,1
q_2e845b85@rerun_24h,q_2e845b85,rerun_24h,From which league was the latest number-one draft pick of the Australian Football League recruited?,1,p_q_2e845b85_1,nab league,1,temporal_align_qa,2023,1,1,1,1
q_2efc3bf0@rerun_24h,q_2efc3bf0,rerun_24h,Who is the winner of the most recent NASCAR Xfinity Series at Homestead-Miami?,1,p_q_2efc3bf0_2,sam mayer,1,temporal_align_qa,2023,2,2,1,1
q_2f36649c@rerun_12h,q_2f36649c,rerun_12h,For which film was the National Board of Review Award for Best Actress most recently given?,1,p_q_2f36649c_0,killers of the flower moon,1,temporal_align_qa,2023,2,2,1,1
q_2f991c6e@rerun_24h,q_2f991c6e,rerun_24h,Who is the most recent recipient of the European Association for Theoretical Computer Science EATCS Award?,1,p_q_2f991c6e_1,amos fiat,1,temporal_align_qa,2023,1,1,1,1
