query_id,audits,audit_rows,is_paraphrase,base_query_id,base_query,paraphrase_text,incoming_query,gold,gold_answer_c2,gold_matches_c2,n_aliases,gold_source,gold_year,gold_note,provenance_note,freshness_class,t,snapshot_round,n_url_slots,n_distinct_urls,n_snapshots_available,snapshot_complete
p_q_84993503_3,mixed_age_400,1,1,q_84993503,Who was the third crew member to join the most recent spaceflight involving Russian cosmonauts to the International Space Station?,"Among the three Russian cosmonauts who joined the International Space Station, which one will remain off board?","Among the three Russian cosmonauts who joined the International Space Station, which one will remain off board?",Francisco Rubio Launch,Francisco Rubio Launch,1,3,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,604504.1029161615,rerun_24h,2,2,2,1
p_q_2b37471e_0,mixed_age_400|heldout_400,2,1,q_2b37471e,What was the outcome of Judson High School's final game?,Judson High School Football: What was the outcome of Thursday at City College?,Judson High School Football: What was the outcome of Thursday at City College?,Lost in area round to state quarterfinalist Dripping Springs 34-38,Lost in area round to state quarterfinalist Dripping Springs 34-38,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,537304.7556869034,rerun_24h,1,1,1,1
p_q_4d8a4de4_1,mixed_age_400,1,1,q_4d8a4de4,Which artist(s) performed on the most recent winner of the Grammy Award for Best Historical Album?,Who are all the cast members of the CD that won a Grammy Award for Best Historical Album at this point in time?,Who are all the cast members of the CD that won a Grammy Award for Best Historical Album at this point in time?,Wilco,Wilco,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,284386.0488355719,rerun_24h,2,2,2,1
p_q_056f7935_3,mixed_age_400,1,1,q_056f7935,Which city is the home of the most recent champion of the Campeonato Paulista Série A3?,Which of the seven cities that made it to the finals of Juventus Championship was still undefeated in the championship round of 16.1 last year?,Which of the seven cities that made it to the finals of Juventus Championship was still undefeated in the championship round of 16.1 last year?,Capivari,Capivari,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,594438.2355575791,rerun_24h,1,1,1,1
p_q_8b83e11f_0,mixed_age_400|heldout_400,2,1,q_8b83e11f,Who is the chair of the latest OOPSLA conference?,Have you heard any update on the OOPSLA committee's meeting?,Have you heard any update on the OOPSLA committee's meeting?,Vasco Vasconcelos,Vasco Vasconcelos,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,188604.77446735563,rerun_24h,2,2,2,1
p_q_28911a13_1,mixed_age_400,1,1,q_28911a13,Who is the current Australian of the Year?,Which Australian is achieving to win the title of President this year?,Which Australian is achieving to win the title of President this year?,Taryn Brumfitt,Taryn Brumfitt,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,359413.6182147836,rerun_24h,1,1,1,1
p_q_665a6704_2,mixed_age_400,1,1,q_665a6704,Who is the most recent champion of the Chubb Classic?,Who was ousted from contention at the Chubb Classic?,Who was ousted from contention at the Chubb Classic?,DEU Bernhard Langer,DEU Bernhard Langer,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,586006.1561880802,rerun_24h,2,2,2,1
p_q_0da13098_2,mixed_age_400,1,1,q_0da13098,What is the motto of the current Frankfurt Book Fair?,Could you inform me of the message that will be shared at Frankfurt Book Fair?,Could you inform me of the message that will be shared at Frankfurt Book Fair?,Honeycomb of Words,Honeycomb of Words,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,248648.78570679287,rerun_24h,1,1,1,1
p_q_a06c234c_3,mixed_age_400,1,1,q_a06c234c,Who were the songwriters of the winning song in the latest Melodifestivalen?,What songs ended up being the most outstanding during this year's Melodifestivalen?,What songs ended up being the most outstanding during this year's Melodifestivalen?,"Jimmy Thörnfeldt, Jimmy Jansson, Lorine Talhaoui, Moa Carlebecker, Peter Boström, Thomas G:son","Jimmy Thörnfeldt, Jimmy Jansson, Lorine Talhaoui, Moa Carlebecker, Peter Boström, Thomas G:son",1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,84807.34212495499,rerun_12h,1,1,1,1
p_q_60502f3b_1,mixed_age_400,1,1,q_60502f3b,Which team won the BBC Sports Personality Team of the Year Award?,Who was recognized as the 2017 BBC Sports Personality Team of the Year Award Driver?,Who was recognized as the 2017 BBC Sports Personality Team of the Year Award Driver?,Manchester City F.C.,Manchester City F.C.,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,271890.87431561266,rerun_24h,1,1,1,1
p_q_297334f5_3,mixed_age_400|heldout_400,2,1,q_297334f5,Who was the replay official in the most recent Super Bowl?,Which Super Bowl video game replay professional was the main figure?,Which Super Bowl video game replay professional was the main figure?,Mark Butterworth,Mark Butterworth,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,536778.6807554624,rerun_24h,1,1,1,1
p_q_c76a7d5e_3,mixed_age_400,1,1,q_c76a7d5e,Which horse won the Royal Hunt Cup most recently?,Who topped the previous Royal Hunt Cup Standings with their performance?,Who topped the previous Royal Hunt Cup Standings with their performance?,Jimi Hendrix,Jimi Hendrix,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,204972.96468603422,rerun_24h,1,1,1,1
p_q_b9a64a4f_1,mixed_age_400,1,1,q_b9a64a4f,What is the theme of Sydney New Year's Eve celebration?,What does the symbolism behind Sydney's New Year'event command be?,What does the symbolism behind Sydney's New Year'event command be?,"One night, many ways to celebrate","One night, many ways to celebrate",1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,482161.8493545327,rerun_24h,2,2,2,1
p_q_b96cebd8_2,mixed_age_400,1,1,q_b96cebd8,In which season did the most recent USBWA National Freshman of the Year play?,Which team Last supported with USBWA National Freshman of the Year (2017) most recently?,Which team Last supported with USBWA National Freshman of the Year (2017) most recently?,2022–23,2022–23,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,393974.2607121406,rerun_24h,1,1,1,1
p_q_b5bab848_2,mixed_age_400,1,1,q_b5bab848,What is the title of the work that won the most recent Latin Grammy Award for Best Salsa Album?,Which piece of music received the best Salsa award at this years dernière LAMS?,Which piece of music received the best Salsa award at this years dernière LAMS?,Niche Sinfónico,Niche Sinfónico,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,603740.7700349479,rerun_24h,2,2,1,0
p_q_6a6b8494_3,mixed_age_400,1,1,q_6a6b8494,Who posted the most-liked tweet last year?,"In the last one we published, which individual put up the most follower tweets?","In the last one we published, which individual put up the most follower tweets?",Elon Musk,Elon Musk,1,1,freshqa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,309020.01183145103,rerun_24h,3,2,2,1
p_q_77b08615_0,mixed_age_400,1,1,q_77b08615,Who was the owner of the horse that won the latest Black-Eyed Susan Stakes?,"In the Black-Eyed Susan Stakes, who was the winner?","In the Black-Eyed Susan Stakes, who was the winner?","NET Racing, Michael Dubb, First Row Partners & Team Hanley","NET Racing, Michael Dubb, First Row Partners & Team Hanley",1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,292809.70717230294,rerun_24h,1,1,1,1
p_q_531f875a_2,mixed_age_400,1,1,q_531f875a,What is the name of the horse that won the most recent Avondale Cup at Avondale Racecourse?,Which horse won the latest Avondale Cup at Avogh Hall on 22nd February 2006?,Which horse won the latest Avondale Cup at Avogh Hall on 22nd February 2006?,Aquacade,Aquacade,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,297794.8818418889,rerun_24h,3,3,3,1
p_q_1dc7b96e_3,mixed_age_400,1,1,q_1dc7b96e,Who is the most recent winner of the Turf Classic Stakes?,Do you happen to know who will win the Turf Classic Stakes just this week?,Do you happen to know who will win the Turf Classic Stakes just this week?,Up to the Mark,Up to the Mark,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,170272.2165896591,rerun_24h,1,1,1,1
p_q_69646c02_0,mixed_age_400,1,1,q_69646c02,How old is the most-followed user on TikTok?,Could you determine the age of the TikTok user with a stream’s largest following?,Could you determine the age of the TikTok user with a stream’s largest following?,23 years old,23 years old,1,2,freshqa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,583972.6346009438,rerun_24h,2,2,2,1
p_q_747bbca1_3,mixed_age_400,1,1,q_747bbca1,What country does the Wimbledon women's champion play for?,What is the name of the tennis player who becomes Wimbledon women's champion?,What is the name of the tennis player who becomes Wimbledon women's champion?,Czech Republic,Czech Republic,1,2,freshqa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,210989.09419756773,rerun_24h,1,1,1,1
p_q_6dce83d8_2,mixed_age_400,1,1,q_6dce83d8,How many field goals did the Women's National Basketball Association season scoring leader make?,What is the maximum number of field goals scored by one team in a Women's National Basketball Association season?,What is the maximum number of field goals scored by one team in a Women's National Basketball Association season?,285,285,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,546223.6293688965,rerun_24h,1,1,1,1
p_q_2d3da894_1,mixed_age_400,1,1,q_2d3da894,Who held the cleanup spot for the Miami Marlins in their latest opening day lineup?,What team actually took back the clean slate on Opening Day @ Miami Marlins?,What team actually took back the clean slate on Opening Day @ Miami Marlins?,Jazz Chisholm Jr. CF,Jazz Chisholm Jr. CF,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,123675.81149709452,rerun_24h,2,2,2,1
p_q_32bb1cf2_0,mixed_age_400,1,1,q_32bb1cf2,What is the regular-season winning percentage of the St. Paul Saints?,How much percentage (RSS) of the Saints winning is this year?,How much percentage (RSS) of the Saints winning is this year?,0.568,0.568,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,445878.03474138933,rerun_24h,1,1,1,1
p_q_5e68b428_2,mixed_age_400,1,1,q_5e68b428,From which city is the latest winner of the Bulwer-Lytton Fiction Contest?,Who ranked first in the Bulwer-Lytton Fiction Contest among city residents?,Who ranked first in the Bulwer-Lytton Fiction Contest among city residents?,"Maya Pasic New York, New York","Maya Pasic New York, New York",1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,232926.90225625993,rerun_24h,2,2,2,1
p_q_e5cbddda_1,mixed_age_400,1,1,q_e5cbddda,Which horse won the Risen Star Stakes most recently?,Which animal performs the exceptionally good duty of winning the Risen Star Stakes at this point?,Which animal performs the exceptionally good duty of winning the Risen Star Stakes at this point?,Angel of Empire,Angel of Empire,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,399107.6852095065,rerun_24h,3,3,3,1
p_q_2ca95d4e_3,mixed_age_400,1,1,q_2ca95d4e,Who claimed the Points classification victory in the Vuelta a Burgos men's race?,Who was awarded the Points ranking on August 9th in Vuelta a Burgos men's racing?,Who was awarded the Points ranking on August 9th in Vuelta a Burgos men's racing?,Primož Roglič,Primož Roglič,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,333554.5558409475,rerun_24h,1,1,1,1
p_q_785fdb1b_0,mixed_age_400,1,1,q_785fdb1b,Which trainer prepared the winning horse in the last Cambridgeshire Handicap?,Which trainer served as the extra trainer in convincing story for Cambridgeshire Handicap last year?,Which trainer served as the extra trainer in convincing story for Cambridgeshire Handicap last year?,Daniel & Claire Kubler,Daniel & Claire Kubler,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,483361.38684015727,rerun_24h,2,2,2,1
p_q_ffbdb73d_0,mixed_age_400,1,1,q_ffbdb73d,Who is the winner of the men's category in the Warsaw Marathon?,Who has been awarded the Warsaw Marathon star prize?,Who has been awarded the Warsaw Marathon star prize?,Levente Szemerei,Levente Szemerei,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,547892.7136020829,rerun_24h,2,2,2,1
p_q_75b15e04_3,mixed_age_400,1,1,q_75b15e04,Which artist won the APRA Music Awards (Australia) Song of the Year lately?,Who has been recognized as the newly-released APRA Music Award Song of the Year?,Who has been recognized as the newly-released APRA Music Award Song of the Year?,Flume featuring May-a,Flume featuring May-a,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,213098.84503397156,rerun_24h,1,1,1,1
p_q_1387f241_3,mixed_age_400,1,1,q_1387f241,What is the hometown of the reigning Miss Iowa Teen USA?,In what region is the younger Miss Iowa Teen USA from?,In what region is the younger Miss Iowa Teen USA from?,Ankeny,Ankeny,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,547148.7469565608,rerun_24h,2,2,2,1
p_q_a5b50e32_0,mixed_age_400,1,1,q_a5b50e32,Do the Toronto Raptors have a winning record in the latest NBA season?,Do the Toronto Raptors continue to dominate in the NBA standings?,Do the Toronto Raptors continue to dominate in the NBA standings?,No,No,1,1,freshqa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,314729.1430768667,rerun_24h,3,2,2,1
p_q_ab431fd9_0,mixed_age_400,1,1,q_ab431fd9,Which institution is represented by the NPDA National Champions team?,From which organization does the NPDA National Champions team hail?,From which organization does the NPDA National Champions team hail?,Parliamentary Debate at Berkeley,Parliamentary Debate at Berkeley,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,327698.6885458451,rerun_24h,1,1,1,1
p_q_2efc3bf0_2,mixed_age_400,1,1,q_2efc3bf0,Who is the winner of the most recent NASCAR Xfinity Series at Homestead-Miami?,"In the latest NASCAR Xfinity Series competition at Homestead-Miami, which horse is crowned champion?","In the latest NASCAR Xfinity Series competition at Homestead-Miami, which horse is crowned champion?",Sam Mayer,Sam Mayer,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,479028.4125672751,rerun_24h,2,2,2,1
p_q_28b0bd9f_3,mixed_age_400,1,1,q_28b0bd9f,Which film won the Grand Prize at the most recent Baeksang Arts Award?,What was the title scooped up in Best Film category at its latest Baeksang Arts Award?,What was the title scooped up in Best Film category at its latest Baeksang Arts Award?,Decision to Leave Award winner,Decision to Leave Award winner,1,2,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,603416.4525460334,rerun_24h,1,1,1,1
p_q_b3cd7717_2,mixed_age_400,1,1,q_b3cd7717,Who is the champion of the latest Horizon Irish Open?,Who clinches the flag for victory in the recent Horizon Irish Open?,Who clinches the flag for victory in the recent Horizon Irish Open?,Vincent Norrman,Vincent Norrman,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,577701.9660059134,rerun_24h,1,1,1,1
p_q_04bb5dc1_2,mixed_age_400,1,1,q_04bb5dc1,Which horse won the Chesham Stakes most recently?,Which horse emerged as the winner of the Chesham Stakes?,Which horse emerged as the winner of the Chesham Stakes?,Snellen,Snellen,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,308521.7020925812,rerun_24h,1,1,1,1
p_q_ebb15c73_3,mixed_age_400,1,1,q_ebb15c73,What geometry type has a WKB integer code that includes M dimensions?,In what geometry (of sizes) does the WKB integer decoder have M dimension?,In what geometry (of sizes) does the WKB integer decoder have M dimension?,SpiralCurve,SpiralCurve,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,451469.4984104391,rerun_24h,3,2,2,1
p_q_4e6d28cb_0,mixed_age_400,1,1,q_4e6d28cb,Who is one of the players currently leading as top scorer in the UEFA Europa League?,Who currently holds the top spot in scoring on multiple occasions in the UEFA Europa League table?,Who currently holds the top spot in scoring on multiple occasions in the UEFA Europa League table?,ENG Marcus Rashford,ENG Marcus Rashford,1,2,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,317689.39661509934,rerun_24h,1,1,1,1
p_q_295700b1_0,mixed_age_400,1,1,q_295700b1,Which horse won the most recent Vincent O'Brien National Stakes?,Who is pictured winning the latest course in this years Vincent O'Brien National Stakes?,Who is pictured winning the latest course in this years Vincent O'Brien National Stakes?,Henry Longfellow,Henry Longfellow,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,335766.5553016473,rerun_24h,1,1,1,1
p_q_a720c2de_2,mixed_age_400,1,1,q_a720c2de,What were the latest Australian Swimming Championships a selection trial for?,What was selected as the selection try at this year's Australian Swimming Championship?,What was selected as the selection try at this year's Australian Swimming Championship?,The Australian selection trials for the 2023 World Aquatics Championships were held in Melbourne from 13–18 June.,The Australian selection trials for the 2023 World Aquatics Championships were held in Melbourne from 13–18 June.,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,158354.07555727614,rerun_24h,2,2,2,1
p_q_19312ca9_3,mixed_age_400,1,1,q_19312ca9,What's the latest project Victor Webster has worked on?,What's Victor Webster up to these days?,What's Victor Webster up to these days?,The Wedding Veil Journey,The Wedding Veil Journey,1,2,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,589494.582271547,rerun_24h,1,1,1,1
p_q_59076011_1,mixed_age_400,1,1,q_59076011,Who is the most recent recipient of the Doak Walker Award?,Which warrior was honoured with the Doak Walker Award last time?,Which warrior was honoured with the Doak Walker Award last time?,Ollie Gordon II,Ollie Gordon II,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,437124.3125015457,rerun_24h,2,2,2,1
p_q_d4f726dc_3,mixed_age_400,1,1,q_d4f726dc,Which pair won the L'Open 35 de Saint-Malo doubles final most recently?,Which contender claimed victory in the most recent doubles match at L'Open 35 de Saint-Malo?,Which contender claimed victory in the most recent doubles match at L'Open 35 de Saint-Malo?,Greet Minnen Bibiane Schoofs,Greet Minnen Bibiane Schoofs,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,414231.9820586057,rerun_24h,2,2,2,1
p_q_5ac8d92d_3,mixed_age_400,1,1,q_5ac8d92d,When does this year's Passover start?,What is the commencement date for Passover this year?,What is the commencement date for Passover this year?,"Apr 5, 2023","Apr 5, 2023",1,10,freshqa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,577273.8354187174,rerun_24h,2,1,1,1
p_q_697c0008_3,mixed_age_400,1,1,q_697c0008,Which pitcher gave up the most recent home run that landed in McCovey Cove?,Who had the most recent home run loss in over 35 plate appearances at McCovey Cove?,Who had the most recent home run loss in over 35 plate appearances at McCovey Cove?,Anthony DeSclafani,Anthony DeSclafani,1,4,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,544137.8739842481,rerun_24h,1,1,1,1
p_q_3c890437_3,mixed_age_400,1,1,q_3c890437,Who was the owner of the winning horse in the most recent Woodbine Oaks?,Who had the rightful owner of the horse that won the latest Woodbine Oaks?,Who had the rightful owner of the horse that won the latest Woodbine Oaks?,"Team Valor International, Gary Barber","Team Valor International, Gary Barber",1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,127275.06549796,rerun_24h,2,2,2,1
p_q_dfefb294_2,mixed_age_400,1,1,q_dfefb294,Which team's driver won the latest Macau Grand Prix?,Which individual claimed triumph in the latest Macau Grand Prix?,Which individual claimed triumph in the latest Macau Grand Prix?,Hitech Pulse-Eight,Hitech Pulse-Eight,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,571761.6047294603,rerun_24h,1,1,1,1
p_q_c5946497_1,mixed_age_400,1,1,q_c5946497,"Who are the engineers that received the most recent Grammy Award for Best Engineered Album, Classical?","In the category of Best Engineered Album, which engineers were named as winner in the recent Grammy Award wins for classical music?","In the category of Best Engineered Album, which engineers were named as winner in the recent Grammy Award wins for classical music?","Shawn Murphy, Charlie Post & Gary Rydstrom ; Michael Rowanowski","Shawn Murphy, Charlie Post & Gary Rydstrom ; Michael Rowanowski",1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,584373.2594615457,rerun_24h,1,1,1,1
p_q_5284772a_1,mixed_age_400,1,1,q_5284772a,Who is the most recent recipient of the Babe Ruth Award?,Who wins the Babe Ruth Award recently?,Who wins the Babe Ruth Award recently?,Adolis García,Adolis García,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,138539.72273973338,rerun_24h,1,1,1,1
p_q_0d1a4b7c_0,mixed_age_400,1,1,q_0d1a4b7c,Who was the jockey riding the horse that recently won the Portland Handicap?,"The horse riding the winner of the Portland Handicap, who was it?","The horse riding the winner of the Portland Handicap, who was it?",Rossa Ryan,Rossa Ryan,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,216552.33533478936,rerun_24h,1,1,1,1
p_q_6a82c062_1,mixed_age_400,1,1,q_6a82c062,Who is the latest first-place winner of the Klein Competition?,Who is at the top of the Klein Competition this year?,Who is at the top of the Klein Competition this year?,Emad Zolfaghari,Emad Zolfaghari,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,420165.77734935004,rerun_24h,2,2,2,1
p_q_4241a3d3_1,mixed_age_400,1,1,q_4241a3d3,Who is the most recent recipient of the Norm Smith Medal?,Who is the current holder of the Norm Smith Medal?,Who is the current holder of the Norm Smith Medal?,Bobby Hill Australian footballer,Bobby Hill Australian footballer,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,413622.7785209341,rerun_24h,2,2,2,1
p_q_9ad3d8f7_1,mixed_age_400,1,1,q_9ad3d8f7,Who was the winner of the individual championship in the latest NCAA Women's Division I Cross Country Championship and what team does she represent?,Can you tell me who is recognized as the individual champion in yesterday's NCAA Women'S Division I Cross Country Championship and what were the competitors?,Can you tell me who is recognized as the individual champion in yesterday's NCAA Women'S Division I Cross Country Championship and what were the competitors?,Parker Valby,Parker Valby,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,218087.5144807518,rerun_24h,2,2,2,1
